"pattern_id","pattern_name","liujing","symptom_list","pulse_list","tongue_list","jianjia_list","clause"
"fj:GuiZhiTang","桂枝汤证","lj:Taiyang_Instance","zz:EHan,zz:FaRe,zz:HanChu,zz:EFeng,zz:TouXiangQiangTong,zz:BiMing,zz:GanOu","mx:Pulse_Huan","","","【6.13】"
"fj:GuiZhiJiaGeGenTang","桂枝加葛根汤证","lj:Taiyang_Instance","zz:TouXiangQiangTong,zz:EFeng,zz:HanChu","","","","【6.15】"
"fj:GuiZhiJiaFuZiTang","桂枝加附子汤证","lj:Taiyang_Instance","zz:HanChu,zz:EFeng,zz:XiaoBianBuLi,zz:SiZhiJueNi","","","jj:WaterRetention_Instance","【6.21】"
"fj:GuiZhiQuShaoYaoTang","桂枝去芍药汤证","lj:Taiyang_Instance","zz:XiongMan,zz:EHan","mx:Pulse_Cu","","","【6.22】"
"fj:GuiZhiMaHuangGeBanTang","桂枝麻黄各半汤证","lj:Taiyang_Instance","zz:FaRe,zz:EHan,zz:ShenTiTengTong","mx:Pulse_Huan","","","【6.24】"
"fj:GuiZhiErMaHuangYiTang","桂枝二麻黄一汤证","lj:Taiyang_Instance","zz:FaRe,zz:EHan,zz:HanChu","mx:Pulse_Hong","","","【6.26】"
"fj:GuiZhiQuGuiJiaFuLingBaiZhuTang","桂枝去桂加茯苓白术汤证","lj:Taiyang_Instance","zz:TouXiangQiangTong,zz:FaRe,zz:WuHan,zz:XinXiaPi,zz:XiaoBianBuLi","","","jj:WaterRetention_Instance","【6.29】"
"fj:MaHuangTang","麻黄汤证","lj:Taiyang_Instance","zz:EHan,zz:FaRe,zz:WuHan,zz:ShenTiTengTong,zz:TouXiangQiangTong,zz:KeNi","mx:Pulse_Jin","","","【7.4】"
"fj:GeGenTang","葛根汤证","lj:Taiyang_Instance","zz:EHan,zz:WuHan,zz:TouXiangQiangTong","","","","【7.1】"
"fj:GeGenJiaBanXiaTang","葛根加半夏汤证","lj:Taiyang_Instance","zz:EHan,zz:WuHan,zz:TouXiangQiangTong,zz:GanOu","","","","【7.2】"
"fj:GeGenHuangQinHuangLianTang","葛根芩连汤证","lj:Taiyang_Instance","zz:ZiLi,zz:HanChu,zz:ShenRe","mx:Pulse_Shu","sx:SheJiang,sx:TaiBaiFu","","【7.3】"
"fj:DaQingLongTang","大青龙汤证","lj:Taiyang_Instance","zz:FaRe,zz:EHan,zz:WuHan,zz:ShenTiTengTong,zz:FanZao","mx:Pulse_Fu, mx:Pulse_Jin","","","【7.7】"
"fj:XiaoQingLongTang","小青龙汤证","lj:Taiyang_Instance","zz:GanOu,zz:FaRe,zz:KeNi,zz:XiaoBianBuLi,zz:KeNi","","","jj:WaterRetention_Instance","【7.9】"
"fj:WuLingSan","五苓散证","lj:Taiyang_Instance","zz:XiaoBianBuLi,zz:KeErYuYin,zz:FaRe","mx:Pulse_Fu","","jj:WaterRetention_Instance","【7.42】"
"fj:TaoHeChengQiTang","桃核承气汤证","lj:Taiyang_Instance","zz:RuKuang,zz:ShaoFuJiJie","","","jj:BloodStasis_Instance","【7.78】"
"fj:DiDangTang","抵当汤证","lj:Taiyang_Instance","zz:FaRe,zz:ShaoFuJiJie","mx:Pulse_Chen","","jj:BloodStasis_Instance","【7.96】"
"fj:DiDangWan","抵当丸证","lj:Taiyang_Instance","zz:ShaoFuMan,zz:XiaoBianZiLi","","","jj:BloodStasis_Instance","【7.98】"
"fj:DaXianXiongTang","大陷胸汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:FuManJuAn,zz:ShenRe,zz:WuHan","mx:Pulse_Chen, mx:Pulse_Jin","","","【8.13】"
"fj:BaiHuTang","白虎汤证","lj:Yangming_Instance","zz:ShenRe,zz:DaKe,zz:HanChu,zz:BuEhanFanEre","mx:Pulse_Hong","","","【8.52】"
"fj:BaiHuJiaRenShenTang","白虎加人参汤证","lj:Yangming_Instance","zz:ShenRe,zz:DaKe,zz:HanChu,zz:BeiWeiEHan,zz:FanZao","mx:Pulse_Hong","sx:CrimsonTongue","","【8.46】"
"fj:TiaoWeiChengQiTang","调胃承气汤证","lj:Yangming_Instance","zz:XinFan,zz:ShenRe,zz:DaBianNan","","","","【9.30】"
"fj:XiaoChengQiTang","小承气汤证","lj:Yangming_Instance","zz:HanChu,zz:ZhanYu,zz:DaBianYing","mx:Pulse_Hua","","jj:FoodStagnation_Instance","【9.36】"
"fj:DaChengQiTang","大承气汤证","lj:Yangming_Instance","zz:ChaoRe,zz:ZhanYu,zz:FuManJuAn,zz:DaBianNan,zz:ShouZuJiRanHanChu","mx:Pulse_Chi","","jj:FoodStagnation_Instance","【9.31】"
"fj:MaZiRenWan","麻子仁丸证","lj:Yangming_Instance","zz:DaBianYing,zz:XiaoBianShu","mx:Pulse_Fu, mx:Pulse_Se","","","【9.71】"
"fj:MiJianDao","蜜煎导方","lj:Yangming_Instance","zz:DaBianYing","","","","【9.57】"
"fj:ZhiZiChiTang","栀子豉汤证","lj:Yangming_Instance","zz:XinZhongAoNong,zz:XuFan,zz:JianAn,zz:HanChu","","sx:SheShangTaiHua","","【9.52】"
"fj:YinChenHaoTang","茵陈蒿汤证","lj:Yangming_Instance","zz:HuangDan,zz:XiaoBianBuLi,zz:FuMan","","","","【9.83】"
"fj:ZhiZiBoPiTang","栀子柏皮汤证","lj:Yangming_Instance","zz:HuangDan,zz:FaRe","","","","【9.84】"
"fj:MaHuangLianQiaoChiXiaoDouTang","麻黄连轺赤小豆汤证","lj:Yangming_Instance","zz:HuangDan,zz:ShenRe,zz:XiaoBianBuLi","","","","【9.85】"
"fj:XiaoChaiHuTang","小柴胡汤证","lj:Shaoyang_Instance","zz:WangLaiHanRe,zz:XiongXieKuMan,zz:MomoBuYuYinShi,zz:XinFanXiOu,zz:KouKu,zz:YanGan,zz:MuXuan","mx:Pulse_Xian","","","【7.68】"
"fj:DaChaiHuTang","大柴胡汤证","lj:Shaoyang_Instance","zz:GanOu,zz:XinXiaPi,zz:FuManJuAn,zz:ChaoRe","","","jj:QiStagnation_Instance","【7.75】"
"fj:ChaiHuJiaMangXiaoTang","柴胡加芒硝汤证","lj:Shaoyang_Instance","zz:XiongXieKuMan,zz:GanOu,zz:ChaoRe","","","","【7.76】"
"fj:ChaiHuJiaLongGuMuLiTang","柴胡加龙骨牡蛎汤证","lj:Shaoyang_Instance","zz:XiongMan,zz:FanZao,zz:JingKong,zz:XiaoBianBuLi,zz:ZhanYu,zz:ShenTiTengTong","","","","【7.79】"
"fj:GuiZhiQuShaoYaoJiaMuLiLongGuJiuNiTang","桂枝去芍药加牡蛎龙骨救逆汤证","lj:Taiyang_Instance","zz:JingKuang,zz:WoQiBuAn","","","","【7.84】"
"fj:GuiZhiJiaGuiTang","桂枝加桂汤证","lj:Taiyang_Instance","zz:QiCongShaoFuShangChongXin","","","","【7.90】"
"fj:GuiZhiGanCaoLongGuMuLiTang","桂枝甘草龙骨牡蛎汤证","lj:Taiyang_Instance","zz:FanZao","","","","【7.91】"
"fj:DaXianXiongWan","大陷胸丸证","lj:Taiyang_Instance","zz:TouXiangQiangTong,zz:RouJing","","","","【8.9】"
"fj:XiaoXianXiongTang","小陷胸汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:AnZhiZeTong","mx:Pulse_Fu, mx:Pulse_Hua","","","【8.17】"
"fj:WenHaSan","文蛤散证","lj:Taiyang_Instance","zz:RouShangSuQi,zz:YiYuYinShui,zz:FanBuKe","","","","【8.20】"
"fj:BaiSan","白散证","lj:Taiyang_Instance","zz:HanShiJieXiong,zz:WuReZheng","","","","【8.20】"
"fj:ChaiHuGuiZhiTang","柴胡桂枝汤证","lj:Shaoyang_Instance","zz:FaRe,zz:WeiEHan,zz:ShenTiTengTong,zz:GanOu,zz:XinXiaPi","","","","【8.25】"
"fj:ChaiHuGuiZhiGanJiangTang","柴胡桂枝干姜汤证","lj:Shaoyang_Instance","zz:XiongXieKuMan,zz:XiaoBianBuLi,zz:KeErBuYuYin,zz:DanTouHanChu,zz:WangLaiHanRe,zz:XinFan","","","","【8.26】"
"fj:BanXiaXieXinTang","半夏泻心汤证","lj:Shaoyang_Instance","zz:XinXiaPi,zz:GanOu,zz:ZiLi","","","","【8.28】"
"fj:ShiZaoTang","十枣汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:TouTong,zz:GanOu,zz:HanChu","","","jj:WaterRetention_Instance","【8.31】"
"fj:DaHuangHuangLianHuangQinXieXinTang","大黄黄连黄芩泻心汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:AnZhiRu","mx:Pulse_GuanShangFuDa","","","【8.33】"
"fj:FuZiXieXinTang","附子泻心汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:EHan,zz:HanChu","","","","【8.34】"
"fj:ShengJiangXieXinTang","生姜泻心汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:GanOu,zz:ShiFu,zz:XieXiaYouShuiQi,zz:ZiLi","","","","【8.36】"
"fj:GanCaoXieXinTang","甘草泻心汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:GanOu,zz:XinFan,zz:ZiLi","","","","【8.37】"
"fj:ChiShiZhiYuYuLiangTang","赤石脂禹余粮汤证","lj:Taiyang_Instance","zz:ZiLi,zz:XinXiaPi","","","","【8.38】"
"fj:XuanFuDaiZheTang","旋覆代赭汤证","lj:Taiyang_Instance","zz:XinXiaPi,zz:YiQi","","","","【8.40】"
"fj:GuiZhiRenShenTang","桂枝人参汤证","lj:Taiyang_Instance","zz:ZiLi,zz:XinXiaPi","","","","【8.41】"
"fj:GuaDiSan","瓜蒂散证","lj:Taiyang_Instance","zz:XiongZhongPi,zz:QiShangChongYanHou,zz:BuDeXi","","","","【8.44】"
"fj:HuangQinTang","黄芩汤证","lj:Shaoyang_Instance","zz:ZiLi","","","","【8.50】"
"fj:HuangQinJiaBanXiaShengJiangTang","黄芩加半夏生姜汤证","lj:Shaoyang_Instance","zz:ZiLi,zz:GanOu","","","","【8.50】"
"fj:HuangLianTang","黄连汤证","lj:Taiyang_Instance","zz:FuTong,zz:YuOu","","","","【8.51】"
"fj:ZhiGanCaoTang","炙甘草汤证","lj:Taiyang_Instance","zz:XinDongJi","mx:Pulse_Jie","","","【8.53】"
"fj:BaiMiJian","白蜜煎证","lj:Yangming_Instance","zz:TouTong,zz:DuanQi,zz:ChaoRe","","","","【9.56】"
"fj:ZhuDanZhiDao","猪胆汁导证","lj:Yangming_Instance","zz:DaBianYing,zz:JinYeNeiJie","","","","【9.57】"
"fj:WuZhuYuTang","吴茱萸汤证（阳明）","lj:Yangming_Instance","zz:ShiGuYuOu","","","","【9.67】"
"fj:XiaoBanXiaTang","小半夏汤证","lj:Yangming_Instance","zz:Ou","","","","【9.67】"
"fj:ZhiZiDaHuangTang","栀子大黄汤证","lj:Yangming_Instance","zz:HuangDan,zz:FaRe,zz:XinZhongAoNong,zz:ReTong","","","","【9.87】"
"fj:ZhuGaoFaJian","猪膏发煎证","lj:Yangming_Instance","zz:HuangDan,zz:JinYeKuZao,zz:SeAnBuMing","","","","【9.88】"
"fj:DaHuangXiaoShiTang","大黄硝石汤证","lj:Yangming_Instance","zz:HuangDan,zz:FuMan,zz:XiaoBianBuLi,zz:ZiHan","","","","【9.89】"
