pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:GuiZhiTang,桂枝汤证,lj:Taiyang_Instance,【6.13】,8,zz:BiMing(9.6184); mx:Pulse_Huan(8.6184); zz:TouXiangQiangTong(6.811); zz:EFeng(6.2965); zz:EHan(6.159); zz:GanOu(5.7115); zz:HanChu(5.3705); zz:FaRe(5.2965)
fj:GuiZhiJiaGeGenTang,桂枝加葛根汤证,lj:Taiyang_Instance,【6.15】,3,zz:TouXiangQiangTong(6.811); zz:EFeng(6.2965); zz:HanChu(5.3705)
fj:GuiZhiJiaFuZiTang,桂枝加附子汤证,lj:Taiyang_Instance,【6.21】,5,zz:SiZhiJueNi(8.6184); jj:WaterRetention(7.6184); zz:EFeng(6.2965); zz:HanChu(5.3705); zz:XiaoBianBuLi(5.0948)
fj:GuiZhiQuShaoYaoTang,桂枝去芍药汤证,lj:Taiyang_Instance,【6.22】,3,mx:Pulse_Cu(9.6184); zz:EHan(6.159); zz:XiongMan(6.0334)
fj:GuiZhiMaHuangGeBanTang,桂枝麻黄各半汤证,lj:Taiyang_Instance,【6.24】,4,mx:Pulse_Huan(8.6184); zz:ShenTiTengTong(6.6184); zz:EHan(6.159); zz:FaRe(5.2965)
fj:GuiZhiErMaHuangYiTang,桂枝二麻黄一汤证,lj:Taiyang_Instance,【6.26】,4,mx:Pulse_Hong(7.6184); zz:EHan(6.159); zz:HanChu(5.3705); zz:FaRe(5.2965)
fj:GuiZhiQuGuiJiaFuLingBaiZhuTang,桂枝去桂加茯苓白术汤证,lj:Taiyang_Instance,【6.29】,6,jj:WaterRetention(7.6184); zz:TouXiangQiangTong(6.811); zz:WuHan(6.811); zz:FaRe(5.2965); zz:XinXiaPi(5.2261); zz:XiaoBianBuLi(5.0948)
fj:MaHuangTang,麻黄汤证,lj:Taiyang_Instance,【7.4】,7,mx:Pulse_Jin(9.6184); zz:WuHan(6.811); zz:TouXiangQiangTong(6.811); zz:ShenTiTengTong(6.6184); zz:EHan(6.159); zz:KeNi(5.811); zz:FaRe(5.2965)
fj:GeGenTang,葛根汤证,lj:Taiyang_Instance,【7.1】,3,zz:WuHan(6.811); zz:TouXiangQiangTong(6.811); zz:EHan(6.159)
