用例                                            lj                    解析六经                      方证                                            方证归属                    一致?
t_shizaotang                                  Taiyangbing           ['Taiyangbing']           Shizaotangzheng                               ['Taiyinbing']          **不一致**
t_guadisan                                    Taiyangbing           ['Taiyangbing']           Guadisanzheng                                 ['Taiyangbing']         OK
t_mijiandaofang                               Yangmingbing          ['Yangmingbing']          Mijiandaofangzheng                            ['Yangmingbing']        OK
t_zhudanzhifang                               Yangmingbing          ['Yangmingbing']          Zhudanzhifangzheng                            ['Yangmingbing']        OK
t_yiwuguaditang                               Taiyangzhongye        ['Taiyangbing']           Yiwuguaditangzheng                            ['Taiyangbing']         OK
t_zhugaofajian                                Huangdanbing          ['Yangmingbing']          Zhugaofajianzheng                             ['Yangmingbing']        OK
t_xiaoshifanshisan                            Huangdanbing          ['Yangmingbing']          Xiaoshifanshisanzheng                         ['Taiyinbing']          **不一致**
t_jupizhurutang                               Outuoyuexialibing     ['Taiyinbing']            Jupizhurutangzheng                            ['Taiyinbing']          OK
t_jupitang                                    Outuoyuexialibing     ['Taiyinbing']            Jupitangzheng                                 ['Taiyinbing']          OK
t_juzhijiangtang                              Xiongbibing           ['Taiyinbing']            Juzhijiangtangzheng                           ['Taiyinbing']          OK
t_wengetang                                   Outuoyuexialibing     ['Taiyinbing']            Wengetangzheng                                ['Taiyangbing']         **不一致**
t_zishentang                                  Outuoyuexialibing     ['Taiyinbing']            Zishentangzheng                               ['Taiyinbing']          OK
t_helilesan                                   Outuoyuexialibing     ['Taiyinbing']            Helilesanzheng                                ['Taiyinbing']          OK
t_shengmabiejiatang                           Yinyangdu             ['Jueyinbing']            Shengmabiejiatangzheng                        ['Jueyinbing']          OK
t_shengmabiejiaquxionghuangshujiaotang        Yinyangdu             ['Jueyinbing']            Shengmabiejiaquxionghuangshujiaotangzheng     ['Jueyinbing']          OK
t_kushentang                                  Huhuobing             ['Jueyinbing']            Kushentangzheng                               ['Taiyinbing']          **不一致**
t_xionghuangxunfang                           Huhuobing             ['Jueyinbing']            Xionghuangxunfangzheng                        ['Taiyinbing']          **不一致**
t_biejiajianwan                               Nuebing               ['Shaoyangbing']          Biejiajianwanzheng                            ['Shaoyangbing']        OK
t_shuqisan                                    Nuebing               ['Shaoyangbing']          Shuqisanzheng                                 ['Shaoyangbing']        OK
t_mulitang                                    Nuebing               ['Shaoyangbing']          Mulitangzheng                                 ['Shaoyangbing']        OK
t_mulizexiesan                                Yangmingbing          ['Yangmingbing']          Mulizexiesanzheng                             ['Yangmingbing']        OK
t_dahuanggansuitang                           TaiyinYangmingHebing  ['Taiyinbing', 'Yangmingbing']Dahuanggansuitangzheng                        ['Yangmingbing', 'Taiyinbing']OK
t_sinisanzheng_test                           Shaoyangbing          ['Shaoyangbing']          Sinisanzheng                                  ['Shaoyangbing', 'Taiyinbing']OK
t_jijiaolihuangwan                            Taiyinbing            ['Taiyinbing']            Jijiaolihuangwanzheng                         ['Taiyinbing']          OK
t_yiyifuzisan                                 Xiongbibing           ['Taiyinbing']            Yiyifuzisanzheng                              ['Taiyinbing']          OK
t_zhulingtang                                 Yangmingbing          ['Yangmingbing']          Zhulingtangzheng                              ['Yangmingbing', 'Shaoyinbing']OK
t_fangjifulingtang                            Shuiqibing            ['Taiyangbing']           Fangjifulingtangzheng                         ['Taiyangbing']         OK
t_zhulingsan                                  Outuoyuexialibing     ['Taiyinbing']            Zhulingsanzheng                               ['Taiyinbing']          OK
t_zexietang                                   Tanyinbing            ['Taiyinbing']            Zexietangzheng                                ['Taiyinbing']          OK
t_fulingxingrengancaotang                     Xiongbibing           ['Taiyinbing']            Fulingxingrengancaotangzheng                  ['Taiyinbing']          OK
t_mufangjitang                                Tanyinbing            ['Taiyinbing']            Mufangjitangzheng                             ['Taiyinbing']          OK
t_Mufangjiqushigaojiafulingmangxiaotangzheng  Tanyinbing            ['Taiyinbing']            Mufangjiqushigaojiafulingmangxiaotangzheng    ['Taiyinbing']          OK
t_fangjihuangqitang                           Shibing               ['Taiyangbing']           Fangjihuangqitangzheng                        ['Taiyangbing']         OK
t_gualoumulisan                               Baihebing             ['Shaoyangbing']          Gualoumulisanzheng                            ['Taiyinbing']          **不一致**
t_shuyuwan                                    Xulaobing             ['Shaoyinbing']           Shuyuwanzheng                                 ['Taiyinbing']          **不一致**
t_tianxiongsan                                Xulaobing             ['Shaoyinbing']           Tianxiongsanzheng                             ['Shaoyinbing']         OK
t_shechuangzisan                              Furenzabing           ['Taiyinbing']            Shechuangzisanzheng                           ['Taiyinbing']          OK
t_langyatantang                               Furenzabing           ['Taiyinbing']            Langyatangzheng                               ['Jueyinbing']          **不一致**
t_zhizhusan                                   Yinhushanbing         ['Jueyinbing']            Zhizhusanzheng                                ['Jueyinbing']          OK
t_bentuntang                                  Bentunbing            ['Taiyangbing']           Bentuntangzheng                               ['Shaoyangbing']        **不一致**
t_xuanfuhuatang                               Ganzhuobing           ['Taiyinbing']            Xuanfuhuatangzheng                            ['Taiyinbing']          OK
t_zaojiawan                                   Feiweifeiyongkesoushangqi['Taiyinbing']            Zaojiawanzheng                                ['Taiyinbing']          OK
t_qianjinweijingtang                          Feiyongbing           ['Taiyinbing']            Qianjinweijingtangzheng                       ['Taiyinbing']          OK
t_tinglidazaoxiefeitang                       Feiyongbing           ['Taiyinbing']            Tinglidazaoxiefeitangzheng                    ['Taiyinbing']          OK
t_maimendongtang                              Kesoushangqibing      ['Taiyinbing']            Maimendongtangzheng                           ['Taiyinbing']          OK
t_zeqitang                                    Kesoushangqibing      ['Taiyinbing']            Zeqitangzheng                                 ['Taiyinbing']          OK
t_xumingtang                                  Zhongfengbing         ['Jueyinbing']            Xumingtangzheng                               ['Taiyangbing']         **不一致**
