经方方证 JUnit 测试套件 —— 运行报告
生成时间：2026-09-22T14:24:29.964867100
用例总数：55，通过 53，失败 2，跳过 0，总墙钟 26.9s

──────── 全部用例（按 @Order 排序） ────────
PASS   ShaoyinTaiyinFangzhengTest         t_guizhijiashaoyaotang           「桂枝加芍药汤证」          0.60s  @Order(8)
PASS   ShaoyinTaiyinFangzhengTest         t_guizhijiadahuangtang           「桂枝加大黄汤证」          0.52s  @Order(9)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseMahuangFuziXixinTangPattern 「麻黄附子细辛汤证诊断」       0.42s  @Order(33)
PASS   ShaoyinTaiyinFangzhengTest         t_mahuangfuzigancaotang          「麻黄附子甘草汤证」         0.41s  @Order(34)
PASS   ShaoyinTaiyinFangzhengTest         t_mahuangfuzitang                「麻黄附子汤证」           0.41s  @Order(35)
PASS   ShaoyinTaiyinFangzhengTest         t_sheganmahuangtang              「射干麻黄汤证」           0.35s  @Order(43)
PASS   ShaoyinTaiyinFangzhengTest         t_yuebijiabanxiatang             「越婢加半夏汤证」          0.42s  @Order(47)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseLizhongTangPattern 「理中汤证诊断」           0.47s  @Order(191)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseSiniTangPattern    「四逆汤证诊断（太阴少阴合病）」     0.47s  @Order(192)
PASS   ShaoyinTaiyinFangzhengTest         t_tongmaisinitang                「通脉四逆汤证」           0.43s  @Order(193)
PASS   ShaoyinTaiyinFangzhengTest         t_tongmaisinijiazhudanzhitang    「通脉四逆加猪胆汁汤证」       0.39s  @Order(194)
PASS   ShaoyinTaiyinFangzhengTest         t_sinijiarenshentang             「四逆加人参汤证」          0.54s  @Order(195)
PASS   ShaoyinTaiyinFangzhengTest         t_fulingsinitang                 「茯苓四逆汤证」           0.40s  @Order(196)
PASS   ShaoyinTaiyinFangzhengTest         t_baitongtang                    「白通汤证」             0.46s  @Order(197)
PASS   ShaoyinTaiyinFangzhengTest         t_baitongjiazhudanzhitang        「白通加猪胆汁汤证」         0.38s  @Order(198)
PASS   ShaoyinTaiyinFangzhengTest         t_ganjiangfuzitang               「干姜附子汤证」           0.43s  @Order(199)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseZhenwuTangPattern  「真武汤证诊断」           0.49s  @Order(200)
PASS   ShaoyinTaiyinFangzhengTest         t_fuzitang                       「附子汤证」             0.50s  @Order(201)
PASS   ShaoyinTaiyinFangzhengTest         t_taohuatang                     「桃花汤证」             0.39s  @Order(209)
PASS   ShaoyinTaiyinFangzhengTest         t_huanglianejiaotang             「黄连阿胶汤证」           0.42s  @Order(210)
PASS   ShaoyinTaiyinFangzhengTest         t_zhufutang                      「猪肤汤证」             0.48s  @Order(211)
PASS   ShaoyinTaiyinFangzhengTest         t_gancaotang                     「甘草汤证」             0.39s  @Order(212)
PASS   ShaoyinTaiyinFangzhengTest         t_jiegengtang                    「桔梗汤证」             0.36s  @Order(213)
PASS   ShaoyinTaiyinFangzhengTest         t_banxiasanjitang                「半夏散及汤证」           0.42s  @Order(214)
PASS   ShaoyinTaiyinFangzhengTest         t_kujiutang                      「苦酒汤证」             0.32s  @Order(215)
PASS   ShaoyinTaiyinFangzhengTest         t_fuzitang_shaoyin               「附子汤证（少阴）」         0.35s  @Order(216)
PASS   ShaoyinTaiyinFangzhengTest         t_ganjiangfuzitang_zhongye       「干姜附子汤证（阳明中暍）」     0.37s  @Order(217)
PASS   ShaoyinTaiyinFangzhengTest         t_wutouchishizhiwan              「乌头赤石脂丸证」          0.42s  @Order(221)
FAIL   ShaoyinTaiyinFangzhengTest         t_fulingguizhigancaodazaotang    「茯苓桂枝甘草大枣汤证」       0.74s  @Order(241)
       └─ expected: "Taiyangbing" but was: null
PASS   ShaoyinTaiyinFangzhengTest         t_lingguizhugantang              「苓桂术甘汤证」           0.48s  @Order(243)
PASS   ShaoyinTaiyinFangzhengTest         t_wulingsan                      「五苓散证」             0.41s  @Order(244)
