feature,weight,occurrence
zz:ZhongE,9.6184,1
zz:JueNi,9.6184,1
zz:ChongDu,9.6184,1
zz:HanZheng,9.6184,1
zz:YuXue,9.6184,1
zz:YinZhongChuang,9.6184,1
zz:ShiLan,9.6184,1
【金匮22-21】,9.6184,1
【金匮22-20】,9.6184,1
zz:FuRenYinHan,9.6184,1
zz:FuRen,9.6184,1
zz:ErFanYiXi,9.6184,1
【金匮22-19】,9.6184,1
zz:FanReBuDeWo,9.6184,1
【金匮22-18】,9.6184,1
【金匮22-17】,9.6184,1
zz:FuRenLiuShiErZhongFeng,9.6184,1
【金匮22-16】,9.6184,1
zz:FuZhongQiXueRuCiTong,9.6184,1
zz:FuRenJingShuiBi,9.6184,1
mx:Pulse_Chen_Jin,9.6184,1
zz:ShaoFuMan,9.6184,1
zz:RuKuang,9.6184,1
zz:KeErYuYin,9.6184,1
mx:Pulse_Fu_Jin,9.6184,1
sx:TaiBaiFu,9.6184,1
mx:Pulse_Shu,9.6184,1
zz:JianAn,9.6184,1
zz:XiaoBianShu,9.6184,1
mx:Pulse_Fu_Se,9.6184,1
mx:Pulse_Chi,9.6184,1
zz:ShouZuJiRanHanChu,9.6184,1
mx:Pulse_Hua,9.6184,1
zz:BeiWeiEHan,9.6184,1
zz:BuEhanFanEre,9.6184,1
zz:XiaBaiWuBuZhi,9.6184,1
zz:ZangJianBi,9.6184,1
【金匮22-15】,9.6184,1
【金匮22-14】,9.6184,1
zz:JingShuiShiXingShiZhi,9.6184,1
zz:FuRenShiFuTong,9.6184,1
zz:XiaoBianWeiNan,9.6184,1
zz:FuRenShaoFuManRuDunZhuang,9.6184,1
【金匮22-13】,9.6184,1
【金匮22-12】,9.6184,1
zz:SeHeiRuKuai,9.6184,1
zz:FuRenXianJingLouXia,9.6184,1
【金匮22-11】,9.6184,1
zz:LouXia,9.6184,1
zz:BanChan,9.6184,1
zz:JingShuiBuLi,9.6184,1
zz:MomoBuYuYinShi,9.6184,1
zz:XinFanXiOu,9.6184,1
zz:YanGan,9.6184,1
sx:SheShangTaiHua,9.6184,1
zz:KeErBuYuYin,9.6184,1
zz:WeiEHan,9.6184,1
zz:WuReZheng,9.6184,1
zz:HanShiJieXiong,9.6184,1
zz:FanBuKe,9.6184,1
zz:YiYuYinShui,9.6184,1
zz:RouShangSuQi,9.6184,1
zz:AnZhiZeTong,9.6184,1
mx:Pulse_Fu_Hua,9.6184,1
zz:RouJing,9.6184,1
zz:QiCongShaoFuShangChongXin,9.6184,1
zz:JingKuang,9.6184,1
jj:QiStagnation,9.6184,1
【金匮22-10】,9.6184,1
zz:HuoYiYueZaiJing,9.6184,1
zz:ShaoFuManTong,9.6184,1
zz:ShaoFuLiJi,9.6184,1
zz:ChunKouGanZao,9.6184,1
【金匮22-9】,9.6184,1
zz:MuJiFaRe,9.6184,1
