"pattern_id","pattern_name","liujing","symptom_list","pulse_list","tongue_list","jianjia_list","clause"
"fj:GuaLouGuiZhiTang","栝楼桂枝汤证","lj:Taiyang_Instance","zz:ShenTiQiangJiJi,zz:Ren","mx:Pulse_Chen_Chi","","","【金匮2-11】"
"fj:GeGenTang_JinKui","葛根汤证（金匮）","lj:Taiyang_Instance","zz:WuHan,zz:XiaoBianFanShao,zz:QiShangChongXiong,zz:KouJinBuDeYu","","","【金匮2-12】",""
"fj:DaChengQiTang_JinKui","大承气汤证（金匮）","lj:Yangming_Instance","zz:XiongMan,zz:KouJin,zz:WoBuZhaoXi,zz:JiaoLuanJi,zz:JieChi","","","【金匮2-13】",""
"fj:MaHuangJiaZhuTang","麻黄加术汤证","lj:Taiyang_Instance","zz:ShenFanTeng","","","【金匮2-20】",""
"fj:MaHuangXingRenYiYiGanCaoTang","麻黄杏仁薏苡甘草汤证","lj:Taiyang_Instance","zz:ShenYiShenTeng,zz:FaRe,zz:RiBuSuoJu","","","【金匮2-21】",""
"fj:FangJiHuangQiTang","防己黄芪汤证","lj:Taiyang_Instance","zz:FuShenZhong,zz:HanChu,zz:EFeng","mx:Pulse_Fu","","","【金匮2-22】"
"fj:GuiZhiFuZiTang","桂枝附子汤证","lj:Taiyang_Instance","zz:ShenTiTengFan,zz:BuNengZiZhuanCe,zz:BuOu,BuKe","mx:Pulse_FuXuErSe","","","【金匮2-23】"
"fj:BaiZhuFuZiTang","白术附子汤证","lj:Taiyang_Instance","zz:ShenTiTengFan,zz:DaBianJian,zz:XiaoBianZiLi","mx:Pulse_FuXuErSe","","","【金匮2-23】"
"fj:GanCaoFuZiTang","甘草附子汤证","lj:Taiyang_Instance","zz:GuJieTengFan,zz:CheTong,zz:HanChu,zz:DuanQi,zz:XiaoBianBuLi,zz:EFeng","","","【金匮2-24】",""
"fj:BaiHuJiaRenShenTang_JinKui","白虎加人参汤证（金匮）","lj:Yangming_Instance","zz:HanChu,zz:EFeng,zz:ShenRe,zz:Ke","mx:Pulse_Hong","","","【金匮2-26】"
"fj:YiWuGuaDiTang","一物瓜蒂汤证","lj:Taiyang_Instance","zz:ShenRe,zz:TengZhong","mx:Pulse_WeiRuo","","","【金匮2-27】"
"fj:BaiHeZhiMuTang","百合知母汤证","lj:Taiyang_Instance","zz:BaiHeBing","","","【金匮3-1】",""
"fj:BaiHeHuaShiDaiZheTang","百合滑石代赭汤证","lj:Taiyang_Instance","zz:BaiHeBing","","","【金匮3-2】",""
"fj:BaiHeJiZiHuangTang","百合鸡子黄汤证","lj:Taiyang_Instance","zz:BaiHeBing","","","【金匮3-3】",""
"fj:BaiHeDiHuangTang","百合地黄汤证","lj:Taiyang_Instance","zz:BaiHeBing,zz:KouKu,zz:XiaoBianChi","mx:Pulse_WeiShu","","","【金匮3-5】"
"fj:BaiHeXiFang","百合洗方证","lj:Taiyang_Instance","zz:BaiHeBing,BianChengKe","","","【金匮3-6】",""
"fj:GuaLouMuLiSan","栝蒌牡蛎散证","lj:Taiyang_Instance","zz:BaiHeBing,BianChengKe","","","【金匮3-6】",""
"fj:BaiHeHuaShiSan","百合滑石散证","lj:Taiyang_Instance","zz:BaiHeBing,BianFaRe","","","【金匮3-7】",""
"fj:GanCaoXieXinTang_JinKui","甘草泻心汤证（金匮）","lj:Taiyang_Instance","zz:HuHuoBing,zz:ShengGa,zz:MuBuDeBi,zz:WoQiBuAn","","","【金匮3-10】",""
"fj:KuShenTang","苦参汤方证","lj:Taiyang_Instance","zz:HuHuoBing,ShiYuXiaBu,YanGan","","","【金匮3-10】",""
"fj:XiongHuangSan","雄黄散方证","lj:Taiyang_Instance","zz:HuHuoBing,ShiYuGang","","","【金匮3-10】",""
"fj:ChiXiaoDouDangGuiSan","赤小豆当归散证","lj:Taiyang_Instance","zz:MuChiRuJiuYan,zz:MuSiJieHei,zz:NengShi","","","【金匮3-13】",""
"fj:ShengMaBieJiaTang","升麻鳖甲汤证","lj:Taiyang_Instance","zz:MianChiBanBanRuJinWen,zz:YanHouTong,zz:TuoNongXue","","","【金匮3-14】",""
"fj:ShengMaBieJiaQuXiongHuangShuJiaoTang","升麻鳖甲去雄黄蜀椒汤证","lj:Taiyang_Instance","zz:MianMuQing,zz:ShenTongRuBeiZhang,zz:YanHouTong","","","【金匮3-15】",""
"fj:BieJiaJianWan","鳖甲煎丸证","lj:Shaoyang_Instance","zz:NueMu","","","【金匮4-2】",""
"fj:BaiHuJiaGuiZhiRenShenTang","白虎加桂枝人参汤证","lj:Yangming_Instance","zz:DanRe,zz:ShaoQi,Fan,zz:ShouZuRe,zz:YuOu","","","【金匮4-4】",""
"fj:BaiHuJiaGuiZhiTang","白虎加桂枝汤证","lj:Yangming_Instance","zz:ShenWuHanDanRe,zz:GuJieTengFan,zz:ShiZuoOu","","","【金匮4-5】",""
"fj:ShuQiSan","蜀漆散证","lj:Shaoyang_Instance","zz:DuoHan,zz:DanHanBuRe","","","【金匮4-6】",""
"fj:ChaiHuGuiJiangTang","柴胡桂姜汤证","lj:Shaoyang_Instance","zz:NueDuoHan,zz:DanHanBuRe","","","【金匮4-6】",""
"fj:GuiZhiShaoYaoZhiMuTang","桂枝芍药知母汤证","lj:Jueyin_Instance","zz:ZhiJieTengTong,zz:ShenTiWangLei,zz:JiaoZhongRuTuo,zz:TouXuanDuanQi,zz:YuTu","","","【金匮5-8】",""
"pattern_id","pattern_name","liujing","symptom_list","pulse_list","tongue_list","jianjia_list","clause"
"fj:WuTouTang","乌头汤证","lj:Taiyang_Instance","zz:LiJieBuKeQuShen,zz:TengTong","","","【金匮5-10】",""
"fj:QiWeiShuQiWan","肾气丸证（虚劳）","lj:Shaoyin_Instance","zz:XuLaoYaoTong,zz:ShaoFuJuJi,zz:XiaoBianBuLi","","","【金匮6-15】",""
"fj:MaHuangFuZiXiXinTang_JinKui","麻黄附子细辛汤证（金匮）","lj:Shaoyin_Instance","zz:FaRe","mx:Pulse_Chen","","","【金匮6-16】"
"fj:DaHuangZheChongWan","大黄?虫丸证","lj:Jueyin_Instance","zz:JiFuJiaCuo,zz:LiangMuAnHei","","","【金匮6-18】",""
"fj:SheGanMaHuangTang","射干麻黄汤证","lj:Taiyang_Instance","zz:KeNiShangQi,zz:HouZhongShuiJiSheng","","","【金匮7-6】",""
"fj:ZaoJiaoWan","皂荚丸证","lj:Taiyang_Instance","zz:KeNiShangQi,zz:ShiShiTuZhuo,zz:DanZuoBuDeMian","","","【金匮7-7】",""
"fj:HouPoMaHuangTang","厚朴麻黄汤证","lj:Taiyang_Instance","zz:Ke","mx:Pulse_Fu","","","【金匮7-8】"
"fj:ZeQiTang","泽漆汤证","lj:Taiyin_Instance","zz:Ke","mx:Pulse_Chen","","","【金匮7-9】"
"fj:MaiMenDongTang","麦门冬汤证","lj:Yangming_Instance","zz:DaNiShangQi,zz:YanHouBuLi","","","【金匮7-10】",""
"fj:QianJinWeiJingTang","葶苈大枣泻肺汤证","lj:Taiyang_Instance","zz:FeiYong,TuNongRuMiZhou","","","【金匮7-11】",""
"fj:YueBiJiaBanXiaTang","越婢加半夏汤证","lj:Taiyang_Instance","zz:FeiZhang,zz:MuRuTuoZhuang","mx:Pulse_FuDa","","","【金匮7-13】"
"fj:XiaoQingLongJiaShiGaoTang","小青龙加石膏汤证","lj:Taiyang_Instance","zz:FeiZhang,zz:KeErQiChuan","mx:Pulse_Fu","","","【金匮7-14】"
"fj:GanCaoGanJiangTang","甘草干姜汤证","lj:Taiyin_Instance","zz:TuXianMo,zz:BuKe","","","【金匮7-5】",""
"fj:BenQiTang","奔豚汤证","lj:ChongRen","zz:BenQi,zz:QiShangChongXiong,zz:FuTong,zz:WangLaiHanRe","","","【金匮8-2】",""
"fj:GuaLouXieBaiBaiJiuTang","瓜蒌薤白白酒汤证","lj:Taiyin_Instance","zz:XiongBi,zz:ChuanXiKeChuo,zz:XiongBeiTong","mx:Pulse_ChenChi, GuanShangXiaoJinShu","","","【金匮9-3】"
"fj:GuaLouXieBaiBanXiaTang","瓜蒌薤白半夏汤证","lj:Taiyin_Instance","zz:XiongBi,zz:BuDeWo,zz:XinTongCheBei","","","【金匮9-4】",""
"fj:ZhiShiXieBaiGuiZhiTang","枳实薤白桂枝汤证","lj:Taiyin_Instance","zz:XiongBi,zz:XinZhongPi,zz:XiongMan,zz:XieXiaNiQiangXin","","","【金匮9-5】",""
"fj:RenShenTang","人参汤证","lj:Taiyin_Instance","zz:XiongBi,zz:XinZhongPi,zz:XiongMan,zz:XieXiaNiQiangXin","","","【金匮9-5】",""
"fj:FuLingXingRenGanCaoTang","茯苓杏仁甘草汤证","lj:Taiyin_Instance","zz:XiongBi,zz:XiongZhongQiSai,zz:DuanQi","","","【金匮9-6】",""
"fj:JuPiZhiShiShengJiangTang","橘皮枳实生姜汤证","lj:Taiyin_Instance","zz:XiongBi,zz:XiongZhongQiSai,zz:DuanQi","","","【金匮9-6】",""
"fj:YiYiFuZiSan","薏苡附子散证","lj:Taiyin_Instance","zz:XiongBi,zz:ShiHuanShiJi","","","【金匮9-7】",""
"fj:GuiZhiShengJiangZhiShiTang","桂枝生姜枳实汤证","lj:Taiyin_Instance","zz:XiongBi,zz:XinZhongXuanTong","","","【金匮9-8】",""
"fj:WuTouChiShiZhiWan","乌头赤石脂丸证","lj:Taiyin_Instance","zz:XiongTongCheBei,zz:CheBeiTongXiong","","","【金匮9-9】",""
"fj:HouPoQiWuTang","厚朴七物汤证","lj:Yangming_Instance","zz:FuMan,zz:FaRe","mx:Pulse_FuShu","","","【金匮10-9】"
"fj:FuZiJingMiTang","附子粳米汤证","lj:Taiyin_Instance","zz:FuZhongQieTong,zz:LeiMing,zz:NiMan,zz:OuTu","","","【金匮10-10】",""
"fj:DaJianZhongTang","大建中汤证","lj:Taiyin_Instance","zz:FuZhongHanTong,zz:OuBuNengShi,zz:FuZhongHan,zz:ShangChongPiQi","","","【金匮10-14】",""
"fj:DaHuangFuZiXiXinTang","大黄附子细辛汤证","lj:Taiyin_Instance","zz:FuMan,zz:XieXiaPianTong,zz:FaWeiRe","mx:Pulse_XianJin","","","【金匮10-15】"
"fj:DaWuTouJian_JinKui","大乌头煎证（金匮）","lj:Taiyin_Instance","zz:HanShan,zz:RaoQiErTong,zz:ShouZuJueLeng","","","【金匮10-17】",""
"fj:DangGuiShengJiangYangRouTang_JinKui","当归生姜羊肉汤证（金匮）","lj:Taiyin_Instance","zz:HanShan,zz:FuZhongTong,zz:XieTongLiJi","","","【金匮10-18】",""
"fj:WuTouGuiZhiTang_JinKui","乌头桂枝汤证（金匮）","lj:Taiyin_Instance","zz:HanShan,zz:FuZhongTong,zz:ShouZuBuRen,zz:NiLeng,zz:ShenTiTengTong","","","【金匮10-19】",""
"fj:ZhiZhuSan","蜘蛛散证（金匮）","lj:Jueyin_Instance","zz:GuShan,zz:PianYouDaXiao,zz:ShiYouShangXia","","","【金匮10-20】",""
"fj:ShengJiangBanXiaTang","生姜半夏汤证","lj:Taiyin_Instance","zz:XiongZhongSiChuanBuChuan,zz:SiOuBuOu,zz:SiNiBuNi,zz:XinZhongFenFenRan","","","【金匮11-11】",""
"fj:JuPiTang","橘皮汤证（金匮）","lj:Taiyin_Instance","zz:GanOuNi,zz:ShouZuJue","","","【金匮11-12】",""
"fj:JuPiZhuRuTang","橘皮竹茹汤证（金匮）","lj:Taiyin_Instance","zz:NiNi,zz:Xu","","","【金匮11-13】",""
"fj:XiaoBanXiaTang_ZhuOu","小半夏汤证（金匮诸呕）","lj:Taiyin_Instance","zz:ZhuOu,zz:GuBuDeXia","","","【金匮11-14】",""
"fj:GanJiangBanXiaTang","干姜半夏汤证","lj:Taiyin_Instance","zz:GanOu,zz:TuXianMo","","","【金匮11-15】",""
"fj:FuLingGanCaoTang_JinKui","茯苓甘草汤证（金匮）","lj:Taiyin_Instance","zz:JueErXinXiaJi","","","【金匮11-16】",""
"fj:ZhuFuTang_JinKui","猪肤汤证（金匮）","lj:Shaoyin_Instance","zz:XiaLi,zz:YanTong,zz:XiongMan,zz:XinFan","","","【金匮11-17】",""
"fj:GanCaoXieXinTang_ZhuOu","甘草泻心汤证（金匮诸呕）","lj:Taiyin_Instance","zz:Ou","","","【金匮11-18】",""
"fj:BanXiaXieXinTang_JinKui","半夏泻心汤证（金匮）","lj:Shaoyang_Instance","zz:OuErChangMing,zz:XinXiaPi","","","【金匮11-19】",""
"fj:HuangLianTang_JinKui","黄连汤证（金匮）","lj:Taiyang_Instance","zz:FuTong,zz:YuOu","","","【金匮11-20】",""
"fj:SiNiTang_JinKui","四逆汤证（金匮）","lj:Shaoyin_Instance","zz:OuErMaiRuo,zz:XiaoBianFuLi,zz:ShenWeiRe,zz:JianJue","","","【金匮11-21】",""
"fj:GanJiangHuangQinHuangLianRenShenTang_JinKui","干姜黄芩黄连人参汤证（金匮）","lj:Jueyin_Instance","zz:ShiRuKouJiTu","","","【金匮11-22】",""
"fj:ZeQiTang_ShuiQi","泽漆汤证（水气）","lj:Taiyin_Instance","zz:Ke,zz:ShuiZhong","mx:Pulse_Chen","","","【金匮12-21】"
