Guizhitang	桂枝汤
Mahuangtang	麻黄汤
Gegentang	葛根汤
Xiaochaihutang	小柴胡汤
Dachengqitang	大承气汤
Sinitang	四逆汤
Wulingsan	五苓散
Lingguizhugantang	苓桂术
Shenqiwan	肾气丸
Wumeiwan	乌梅丸
Wenjingtang	温经汤
Xiaoqinglongtang	小青龙汤
Huangqiguizhiwuwutang	黄芪桂枝五物汤
Xiaochengqitang	小承气汤
Tiaoweichengqitang	调胃承气汤
Tongmaisinitang	通脉四逆汤
Baitongtang	白通汤
Banxiahoupotang	半夏厚朴汤
Yuebitang	越婢汤
Maimendongtang	麦门冬汤
Tinglidazaoxiefeitang	葶苈大枣泻肺汤
Gualouxiebaibaijiutang	瓜蒌薤白白酒汤
Mufangjitang	木防己汤
Zexietang	泽泻汤
Zhizichitang	栀子豉汤
Baihedihuangtang	百合地黄汤
Gancaoganjiangtang	干姜汤
Fulinggancaotang	茯苓汤
Dahuanggancaotang	大黄汤
Baitouwengtang	白头翁汤
Huangtutang	黄土汤
Chixiaodoudangguisan	赤小豆当归散
Xiexintang	泻心汤
Baiyetang	柏叶汤
Daqinglongtang	大青龙汤
Xiaoqinglongjiashigaotang	小青龙加石膏汤
Yuebijiazhuatang	越婢加术汤
Zhuyeshigaotang	竹叶石膏汤
Huangliantang	黄连汤
Zhizihoupotang	栀子厚朴汤
Zhiziganjiangtang	栀子干姜汤
Zhizigancaochitang	栀子豉汤
Zhizishengjiangchitang	栀子生姜豉汤
Zhishizhizichitang	枳实栀子豉汤
Dahuanghuanglianxiexintang	大黄黄连泻心汤
Fuzixiexintang	附子泻心汤
Shengjiangxiexintang	生姜泻心汤
Gancaoxiexintang	泻心汤
Dachaihutang	大柴胡汤
Chaihuguizhiganjiangtang	柴胡桂枝干姜汤
Chaihuguizhitang	柴胡桂枝汤
Chaihujiamangxiaotang	柴胡加芒硝汤
Chaihujialonggumulitang	柴胡加龙骨牡蛎汤
Huangqintang	黄芩汤
Huangqinjiabanxiashengjiangtang	黄芩加半夏生姜汤
Mazirenwan	麻子仁丸
Yinchenhaotang	茵陈蒿汤
Zhizibaipitang	栀子柏皮汤
Dahuangfuzitang	大黄附子汤
Houposanwutang	厚朴三物汤
Dahuangmudantang	大黄牡丹汤
Fuzitang	附子汤
Taohuatang	桃花汤
Zhufutang	猪肤汤
Gancaotang	汤
Jiegengtang	桔梗汤
Dangguisinijiawuzhuyushengjiangtang	当归四逆加吴茱萸生姜汤
Mahuangshengmatang	麻黄升麻汤
Gualouguizhitang	栝楼桂枝汤
Mahuangjiazhutang	麻黄加术汤
Maxingyigantang	麻杏薏
Fangjihuangqitang	防己黄芪汤
Guizhifuzitang	桂枝附子汤
Baizhufuzitang	白术附子汤
Gancaofuzitang	附子汤
Shengmabiejiatang	升麻鳖甲汤
Wutoutang	乌头汤
Guizhijialonggumulitang	桂枝加龙骨牡蛎汤
Dahuangzhechongwan	大黄蛰虫丸
Gualouxiebaibanxiantang	瓜蒌薤白半夏汤
Zhishixiebaiguizhitang	枳实薤白桂枝汤
Fulingxingrengancaotang	茯苓杏仁汤
Juzhijiangtang	橘枳姜汤
Xuanfuhuatang	旋覆花汤
Xiaobanxiantang	小半夏汤
Xiaobanxiajiafulingtang	小半夏加茯苓汤
Guilingwuweigancaotang	桂苓五味汤
Lingganwuweijiangxintang	苓味姜辛汤
Mufangjiqushigaojiafulingmangxiaotang	木防己去石膏加茯苓芒硝汤
Jijiaolihuangwan	己椒苈黄丸
Zhuyetang	竹叶汤
Baitouwengjiagancaojiaotang	白头翁加阿胶汤
Ganjiangrenshenbanxiawan	干姜人参半夏丸
Dangguibeimukushenwan	当归贝母苦参丸
Kujiutang	苦酒汤
Banxiasanjitang	半夏散及汤
Baitongjiazhudanzhitang	白通加猪胆汁汤
Tongmaisijiazhudanzhitang	通脉四逆加猪胆汁汤
Sinijiarenshentang	四逆加人参汤
Guizhijiadahuangtang	桂枝加大黄汤
Baihezhimutang	百合知母汤
Huashidaizhetang	滑石代赭汤
Baihejizitang	百合鸡子汤
Gualoumulisan	瓜蒌牡蛎散
Baihehuashisan	百合滑石散
Baihujiaguizhitang	白虎加桂枝汤
Houpomahuangtang	厚朴麻黄汤
Yuebijiabanxiatang	越婢加半夏汤
Baihutang	白虎汤
Mahuangfuzixixintang	麻黄附子细辛汤
Zhenwutang	真武汤
Guizhifulingwan	桂枝茯苓丸
Sinisansan	四逆散
Wendantang	温胆汤
Banxiaxiexintang	半夏泻心汤
Gansuibanxiantang	半夏汤
Fuzijingmitang	附子粳米汤
Gualouqumaiwan	栝楼瞿麦丸
Taohechengqitang	桃核承气汤
Huanglianejiaotang	黄连阿胶汤
Dangguisinitang	当归四逆汤
Wuzhuyutang	吴茱萸汤
Xiaojianzhongtang	小建中汤
Suanzaorentang	酸枣仁汤
Houpoqiwutang	厚朴七物汤
Gegenhuangqinhuangliantang	葛根黄芩黄连汤
Zeqitang	泽漆汤
Maxingshigantang	麻杏石
Zhulingtang	猪苓汤
Shizaotang	十枣汤
Didangtang	抵当汤
Guadisan	瓜蒂散
Ganjianghuangqinhuanglianrenshentang	干姜黄芩黄连人参汤
Guizhishaoyaozhimutang	桂枝芍药知母汤
Xuanfudaizhetang	旋覆代赭汤
Bentuntang	奔豚汤
Guizhijiaguitang	桂枝加桂汤
Tianwutouchishimisan	头风摩散
Lizhongtang	理中汤
Xiayuxuetang	下瘀血汤
Guizhijiagegentang	桂枝加葛根汤
Guizhijiahoupoxingrentang	桂枝加厚朴杏子汤
Guizhijiafuzitang	桂枝加附子汤
