Guizhi	桂枝
Shaoyao	芍药
Gancao	甘草
Shengjiang	生姜
Dazao	大枣
Mahuang	麻黄
Xingren	杏仁
Shigao	石膏
Zhimu	知母
Jingmi	粳米
Dahuang	大黄
Mangxiao	芒硝
Houpo	厚朴
Zhishi	枳实
Chaihu	柴胡
Huangqin	黄芩
Renshen	人参
Banxia	半夏
Ganjiang	干姜
Baizhu	白术
Fuzi	附子
Xixin	细辛
Fuling	茯苓
Wumei	乌梅
Huanglian	黄连
Danggui	当归
Shujiao	蜀椒
Huangbai	黄柏
Gualougen	瓜蒌根
Muli	牡蛎
Danshen	丹参
Taoren	桃仁
Xiangfu	香附
Yujin	郁金
Huashi	滑石
Shanzha	山楂
Shenqu	神曲
Mudanpi	牡丹皮
Wuweizi	五味子
Zhuru	竹茹
Chenpi	陈皮
Gegen	葛根
Longgu	龙骨
Yitang	饴糖
Huangqi	黄芪
Zhizi	栀子
Xiangchi	香豉
Zhuye	竹叶
Maimendong	麦门冬
Xuanfuhua	旋覆花
Daizheshi	代赭石
Zhuling	猪苓
Zexie	泽泻
Gualoushi	瓜蒌实
Xiebai	薤白
Baijiu	白酒
Chuanwu	川乌
Fangfeng	防风
Chuanxiong	川芎
Ejiao	阿胶
Aiye	艾叶
Dihuang	干地黄
Baihe	百合
Shengdihuangzhi	生地黄汁
Suanzaoren	酸枣仁
Chixiaodou	赤小豆
Shegan	射干
Ziwan	紫菀
Kuandonghua	款冬花
Xiaomai	小麦
Zican	紫参
Baiqian	白前
Zeqi	泽漆
Yan	盐
Zhechong	䗪虫
Renniao	人尿
Zhudanzhi	猪胆汁
Congbai	葱白
Shuizhi	水蛭
Mengchong	虻虫
Qiandan	铅丹
Wuzhuyu	吴茱萸
Tongcao	通草
Baitouweng	白头翁
Qinpi	秦皮
Jizihuang	鸡子黄
Zaoxintu	灶心黄土
Yiyiren	薏苡仁
Mi	蜜
Jiangshui	浆水
Quanshui	泉水
Dongliushui	东流水
Baijiangcao	败酱草
Kujiu	苦酒
Qingjiu	清酒
Baiyin	白饮
Wenfen	温粉
Rougui	肉桂
Longdancao	龙胆草
Binlang	槟榔
Xionghuang	雄黄
Beimu	贝母
Bailian	白蔹
Baiji	白及
Gansui	甘遂
Daji	大戟
Haizao	海藻
Yuanhua	芫花
Lilu	藜芦
Shashen	沙参
Xuanshen	玄参
Kushen	苦参
Liuhuang	硫黄
Pishuang	砒霜
Langdu	狼毒
Mituoseng	密陀僧
Badou	巴豆
Qianniuzi	牵牛子
Dingxiang	丁香
Sanleng	三棱
Xijiao	犀角
Wulingzhi	五灵脂
Chishizhi	赤石脂
Shuiyin	水银
Caowu	草乌
Shanyao	山药
Qumai	瞿麦
Maziren	麻子仁
Dongguazi	冬瓜仁
Jiaomu	椒目
Mufangji	木防己
Wutou	乌头
Zhusha	朱砂
Xiaoshi	硝石
Shanglu	商陆
Yuyuliang	禹余粮
Shufu	鼠妇
Wushan	乌扇
Shiwei	石韦
Ziwei	紫葳
Fengwo	蜂窠
Chixiao	赤硝
Qianglang	蜣螂
Ganqi	干漆
Jicao	蛴螬
Dadouhuangjuan	豆黄卷
Qu	曲
Weirui	葳蕤
Tianmendong	天门冬
Yinchenhao	茵陈蒿
Jiegeng	桔梗
Zhufu	猪肤
Baifen	白粉
Baiye	柏叶
Matongzhi	马通汁
Xinjiang	新绛
Lianqiao	连翘
Shengzibaipi	生梓白皮
Shanzhuyu	山茱萸
Guadi	瓜蒂
Ziye	紫苏叶
Facu	法醋
Shenglangya	生狼牙
Tinglizi	葶苈子
Shuqi	蜀漆
Fanshi	矾石
Duhuo	独活
Tianxiong	天雄
Zaojia	皂荚
Weijing	苇茎
Guaban	瓜瓣
Honglanhua	红蓝花
Ganligenbaipi	根白皮
Biejia	鳖甲
Shengma	升麻
