Futong;Kouku;Shouzuleng;Wanglaihanre;Xiali;Xiongxiekuman               | rc=2 | T1=None                                   | Sinisanzheng(5/5,j=0.71,p3)R Chaihubaihutangzheng(2/6,j=0.18,p2) Xiaochaihutangzheng(3/9,j=0.23,p3)R Huangqintangzheng(1/1,j=0.14,p3)
Changmingruzoushui;Fuman;Kousheganzao                                  | rc=1 | T1=None                                   | Jijiaolihuangwanzheng(2/2,j=0.40,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3) Gansuibanxiatangzheng(1/3,j=0.14,p2)
Futong;Fuzhongleiming;Outu;Xiongxiekuman                               | rc=0 | T1=None                                   | Fuzijingmitangzheng(4/4,j=0.80,p3) Sinisanzheng(2/5,j=0.25,p3) Painongsanzheng(1/1,j=0.20,p3) Houposanwutangzheng(1/2,j=0.17,p2)
Fuman;Xiongbihuanji                                                    | rc=1 | T1=None                                   | Yiyifuzisanzheng(1/1,j=0.25,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.20,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.20,p3) Jijiaolihuangwanzheng(1/2,j=0.20,p3)
Fare;Kouke;Xiaobianbuli                                                | rc=4 | T1=None                                   | Zhulingtangzheng(3/3,j=0.60,p2)R Wulingsanzheng(3/4,j=0.50,p3) Guizhieryuebiyitangzheng(2/5,j=0.25,p3) Chaihubaihutangzheng(2/6,j=0.22,p2)
Fuman;Housishui;Ou;Tu;Xiongman                                         | rc=0 | T1=None                                   | Zhulingsanzheng(4/5,j=0.50,p3) Lingganwuweijiangxinxiatangzheng(2/3,j=0.25,p3) Guizhijiashaoyaotangzheng(1/2,j=0.13,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.13,p3)
Fuman;Kumaoxuan;Xinxiayouzhiyin                                        | rc=1 | T1=None                                   | Zexietangzheng(2/2,j=0.40,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3) Jijiaolihuangwanzheng(1/2,j=0.17,p3)
Duanqi;Fuman;Xinxiayouzhiyin;Xiongzhongqisai                           | rc=1 | T1=None                                   | Fulingxingrengancaotangzheng(3/3,j=0.50,p3)R Juzhijiangtangzheng(2/3,j=0.29,p3) Guizhijiashaoyaotangzheng(1/2,j=0.14,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.14,p3)
Ehan;Pishui;Sizhinieniedong;Sizhizhong                                 | rc=1 | T1=None                                   | Fangjifulingtangzheng(1/1,j=0.20,p3)R Guizhiqushaoyaojiafuzitangzheng(1/2,j=0.17,p2) Houpomahuangtangzheng(1/2,j=0.17,p3) Mahuangjiazhutangzheng(1/2,j=0.17,p3)
Chuan;Fuman;Gejianzhiyin;Mianselihei;Xinxiapijian;Xiongman             | rc=2 | T1=None                                   | Mufangjitangzheng(4/4,j=0.50,p2)R Mufangjiqushigaojiafulingmangxiaotangzheng(2/2,j=0.25,p2)R Guizhijiashaoyaotangzheng(1/2,j=0.11,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.11,p3)
Fuman;Gejianzhiyin;Xinxiapijian                                        | rc=1 | T1=None                                   | Mufangjiqushigaojiafulingmangxiaotangzheng(2/2,j=0.40,p2)R Mufangjitangzheng(2/4,j=0.29,p2) Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3)
Touxuan;Xiali;Xinxiapi                                                 | rc=0 | T1=None                                   | Gansuibanxiatangzheng(3/3,j=0.75,p2) Banxiaxiexintangzheng(2/3,j=0.40,p2) Zhenwutangzheng(2/6,j=0.25,p3) Huangqintangzheng(1/1,j=0.25,p3)
Efeng;Ehan;Hanchu;Shenzhong                                            | rc=1 | T1=None                                   | Fangjihuangqitangzheng(3/3,j=0.60,p3)R Gualouguizhitangzheng(2/3,j=0.33,p3) Guizhijiagegentangzheng(2/3,j=0.33,p3) Guizhijiahoupoxingzitangzheng(2/3,j=0.33,p3)
Kouke;Kouku;Wanglaihanre;Xiaobianchi;Xiongxiekuman                     | rc=4 | T1=None                                   | Gualoumulisanzheng(3/3,j=0.43,p5)R Chaihubaihutangzheng(3/6,j=0.30,p2) Baihedihuangtangzheng(2/2,j=0.29,p5)R Baihehuashisanzheng(2/3,j=0.25,p5)
Duanqi;Ehan;Ganou;Xietong;Xinxiapiying                                 | rc=1 | T1=None                                   | Shizaotangzheng(2/2,j=0.29,p1)R Guizhiqushaoyaojiafuzitangzheng(1/2,j=0.13,p2) Guizhirenshentangzheng(1/2,j=0.13,p2) Houpomahuangtangzheng(1/2,j=0.13,p3)
Budexi;Ehan;Qishangchongxiongyan;Xiongzhongpiying                      | rc=1 | T1=None                                   | Guadisanzheng(2/2,j=0.33,p2)R Shaoyaogancaofuzitangzheng(2/3,j=0.29,p3) Guizhieryuebiyitangzheng(2/5,j=0.22,p3) Guizhiqushaoyaojiafuzitangzheng(1/2,j=0.14,p2)
Dabianying;Kouke;Kousheganzao;Xiaobianzili                             | rc=1 | T1=None                                   | Mijiandaofangzheng(3/3,j=0.60,p3)R Zhudanzhifangzheng(2/3,j=0.33,p3) Mazirenwanzheng(1/2,j=0.17,p3) Zhulingtangzheng(1/3,j=0.14,p2)
Dabianying;Fare;Kouke;Xiaobianzili                                     | rc=1 | T1=None                                   | Zhudanzhifangzheng(3/3,j=0.60,p3)R Zhulingtangzheng(2/3,j=0.33,p2) Mijiandaofangzheng(2/3,j=0.33,p3) Chaihubaihutangzheng(2/6,j=0.22,p2)
Ehan;Shenre;Shentong;Shenzhong                                         | rc=1 | T1=None                                   | Yiwuguaditangzheng(4/4,j=0.67,p3)R Shaoyaogancaofuzitangzheng(2/3,j=0.29,p3) Guizhieryuebiyitangzheng(2/5,j=0.22,p3) Guizhiqushaoyaojiafuzitangzheng(1/2,j=0.14,p2)
Huangdan;Kouke;Zhuhuang                                                | rc=1 | T1=None                                   | Zhugaofajianzheng(2/2,j=0.40,p3)R Wulingsanzheng(2/4,j=0.29,p3) Houpomahuangtangzheng(1/2,j=0.17,p3) Xingzitangzheng(1/2,j=0.17,p3)
Bangguangji;Eshanghei;Kouke;Nvlaodan;Shaofuman;Shenhuang;Zuxiare       | rc=1 | T1=None                                   | Xiaoshifanshisanzheng(6/6,j=0.67,p3)R Yinchenhaotangzheng(1/2,j=0.10,p2) Zhizibaipitangzheng(1/2,j=0.10,p2) Fulingzexietangzheng(1/2,j=0.10,p3)
Fuman;Hui;Shaoqi                                                       | rc=1 | T1=None                                   | Jupizhurutangzheng(3/3,j=0.60,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3) Jijiaolihuangwanzheng(1/2,j=0.17,p3)
Fuman;Ganou;Hui;Shouzujueni                                            | rc=1 | T1=None                                   | Jupitangzheng(2/2,j=0.33,p3)R Banxiaganjiangsanzheng(1/2,j=0.14,p3) Guizhijiashaoyaotangzheng(1/2,j=0.14,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.14,p3)
Duanqi;Fuman;Xinzhongpiqi;Xiongzhongqisai                              | rc=1 | T1=None                                   | Juzhijiangtangzheng(3/3,j=0.50,p3)R Fulingxingrengancaotangzheng(2/3,j=0.29,p3) Guizhijiashaoyaotangzheng(1/2,j=0.14,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.14,p3)
Fuman;Kouke;Outu;Toutong;Yuyin                                         | rc=2 | T1=None                                   | Wengetangzheng(4/4,j=0.57,p3)R Fulingzexietangzheng(2/2,j=0.29,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.13,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.13,p3)
Feitong;Fuman;Xiali                                                    | rc=1 | T1=None                                   | Zishentangzheng(2/2,j=0.40,p3)R Lizhongtangzheng(2/3,j=0.33,p3) Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Helilesanzheng(1/2,j=0.17,p3)
Fuman;Xialiqi                                                          | rc=0 | T1=None                                   | Guizhijiashaoyaotangzheng(1/2,j=0.20,p3) Helilesanzheng(1/2,j=0.20,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.20,p3) Jijiaolihuangwanzheng(1/2,j=0.20,p3)
Mianchibanbanrujinwen;Shouzuleng;Tunongxue;Xiaoke;Yantong              | rc=3 | T1=None                                   | Shengmabiejiatangzheng(3/3,j=0.43,p3)R Tongmaisinitangzheng(2/4,j=0.22,p1) Gancaotangzheng(1/1,j=0.14,p5)R Dangguisinitangzheng(1/2,j=0.13,p3)R
Mianseqing;Shentong;Shouzuleng;Xiaoke                                  | rc=2 | T1=None                                   | Shengmabiejiaquxionghuangshujiaotangzheng(2/2,j=0.40,p3)R Dangguisinitangzheng(1/2,j=0.17,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.14,p3) Fulinggancaotangzheng(1/4,j=0.13,p3)
Shouzuleng;Xiaoke;Yangan;Yinzhongshichuang                             | rc=3 | T1=None                                   | Kushentangzheng(2/2,j=0.40,p3)R Xionghuangxunfangzheng(1/1,j=0.20,p3)R Dangguisinitangzheng(1/2,j=0.17,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.14,p3)
Shouzuleng;Xiaoke;Yinzhongshichuang                                    | rc=2 | T1=None                                   | Xionghuangxunfangzheng(1/1,j=0.25,p3)R Dangguisinitangzheng(1/2,j=0.20,p3)R Kushentangzheng(1/2,j=0.20,p3) Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.17,p3)
Nvemu;Wanglaihanre;Xiexiazhengjia;Xiongxiekuman                        | rc=2 | T1=None                                   | Biejiajianwanzheng(2/2,j=0.40,p3)R Sinisanzheng(2/5,j=0.25,p3) Chaihubaihutangzheng(2/6,j=0.22,p2) Chaihujiamangxiaotangzheng(1/4,j=0.13,p3)
Fahan;Runvezhuang;Shenduohan;Wanglaihanre;Xiongxiekuman                | rc=2 | T1=None                                   | Shuqisanzheng(3/3,j=0.50,p3)R Sinisanzheng(2/5,j=0.22,p3) Chaihubaihutangzheng(2/6,j=0.20,p2) Mulitangzheng(1/2,j=0.14,p3)
Duohanchu;Fahan;Wanglaihanre;Xiongxiekuman                             | rc=2 | T1=None                                   | Mulitangzheng(2/2,j=0.40,p3)R Sinisanzheng(2/5,j=0.25,p3) Chaihubaihutangzheng(2/6,j=0.22,p2) Chaihujiamangxiaotangzheng(1/4,j=0.13,p3)
Kouke;Xiaobianbuli;Yaoyixiayoushuiqi                                   | rc=4 | T1=None                                   | Mulizexiesanzheng(2/2,j=0.40,p3)R Zhulingtangzheng(2/3,j=0.33,p2) Wulingsanzheng(2/4,j=0.29,p3) Fulingrongyantangzheng(1/1,j=0.20,p3)R
Buke;Fuman;Furenshaofumanrudunzhuang;Kouke;Shenghouzhe;Xiaobiannan     | rc=1 | T1=None                                   | Dahuanggansuitangzheng(4/4,j=0.44,p2)R Lizhongtangzheng(2/3,j=0.20,p3) Dangguibeimukushenwanzheng(1/2,j=0.10,p3) Fulingzexietangzheng(1/2,j=0.10,p3)
Danyumei;Fengqibaiji;Xulao                                             | rc=1 | T1=None                                   | Shuyuwanzheng(2/2,j=0.40,p3)R Huangqijianzhongtangzheng(1/2,j=0.17,p3) Mahuangfuzigancaotangzheng(1/2,j=0.17,p3) Sinitangzheng(1/3,j=0.14,p1)
Danyumei;Yaotong;Yaozhongleng;Yijing                                   | rc=1 | T1=None                                   | Tianxiongsanzheng(3/3,j=0.60,p3)R Mahuangfuzigancaotangzheng(1/2,j=0.17,p3) Sinitangzheng(1/3,j=0.14,p1) Shenqiwanzheng(1/3,j=0.14,p3)
Fuman;Furenyinhan                                                      | rc=1 | T1=None                                   | Shechuangzisanzheng(1/1,j=0.25,p5)R Guizhijiashaoyaotangzheng(1/2,j=0.20,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.20,p3) Jijiaolihuangwanzheng(1/2,j=0.20,p3)
Fuman;Yinzhongjishengchuang;Yinzhongshichuanglanzhe                    | rc=1 | T1=None                                   | Langyatangzheng(1/1,j=0.20,p5)R Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3) Jijiaolihuangwanzheng(1/2,j=0.17,p3)
Pianyouxiaoda;Shishishangxia;Shouzuleng;Xiaoke;Yinhushan               | rc=2 | T1=None                                   | Zhizhusanzheng(3/3,j=0.43,p3)R Dangguisinitangzheng(1/2,j=0.13,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.11,p3) Fulinggancaotangzheng(1/4,j=0.10,p3)
Ehan;Futong;Qishangchongxiong;Wanglaihanre                             | rc=1 | T1=None                                   | Bentuntangzheng(3/3,j=0.50,p3)R Chaihubaihutangzheng(2/6,j=0.20,p2) Guizhiqushaoyaojiafuzitangzheng(1/2,j=0.14,p2) Houpomahuangtangzheng(1/2,j=0.14,p3)
Changyudaoqixiongshang;Danyuyinre;Fuman;Ganzhe                         | rc=1 | T1=None                                   | Xuanfuhuatangzheng(2/2,j=0.33,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.14,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.14,p3) Jijiaolihuangwanzheng(1/2,j=0.14,p3)
Fuman;Keni;Shishituzhuo                                                | rc=1 | T1=None                                   | Zaojiawanzheng(2/2,j=0.50,p2)R Guizhijiashaoyaotangzheng(1/2,j=0.20,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.20,p3) Jijiaolihuangwanzheng(1/2,j=0.20,p3)
Fanman;Feiyong;Fuman;Kesou;Weire;Xiongzhongjiacuo                      | rc=1 | T1=None                                   | Qianjinweijingtangzheng(4/4,j=0.57,p2)R Guizhijiashaoyaotangzheng(1/2,j=0.13,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.13,p3) Jijiaolihuangwanzheng(1/2,j=0.13,p3)
Budewo;Chuan;Feiyong;Fuman;Xiongman                                    | rc=1 | T1=None                                   | Tinglidazaoxiefeitangzheng(3/3,j=0.43,p2)R Mufangjitangzheng(2/4,j=0.22,p2) Guizhijiashaoyaotangzheng(1/2,j=0.13,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.13,p3)
