经方方证 JUnit 测试套件 —— 运行报告
生成时间：2026-09-22T12:59:29.888974800
用例总数：280，通过 259，失败 21，跳过 0，总墙钟 105.7s

──────── 全部用例（按 @Order 排序） ────────
PASS   DuliFangzhengTest                  t_sinisanzheng_test              「四逆散证」             1.27s  @Order(79)
PASS   DuliFangzhengTest                  t_jijiaolihuangwan               「己椒苈黄丸证」           0.62s  @Order(137)
PASS   DuliFangzhengTest                  shouldWarnOnFuziJingmiTangAntagonism 「附子粳米汤十八反警告检测」     0.49s  @Order(202)
PASS   DuliFangzhengTest                  t_yiyifuzisan                    「薏苡附子散证」           0.47s  @Order(205)
PASS   DuliFangzhengTest                  t_zhulingtang                    「猪苓汤证」             0.46s  @Order(245)
PASS   DuliFangzhengTest                  t_zhulingsan                     「猪苓散证」             0.64s  @Order(246)
PASS   DuliFangzhengTest                  t_zexietang                      「泽泻汤证」             0.48s  @Order(247)
PASS   DuliFangzhengTest                  t_fulingxingrengancaotang        「茯苓杏仁甘草汤证」         0.41s  @Order(250)
PASS   DuliFangzhengTest                  t_fangjifulingtang               「防己茯苓汤证」           0.35s  @Order(251)
PASS   DuliFangzhengTest                  t_mufangjitang                   「木防己汤证」            0.37s  @Order(252)
PASS   DuliFangzhengTest                  t_Mufangjiqushigaojiafulingmangxiaotangzheng 「木防己去石膏加茯苓芒硝汤证」     0.39s  @Order(253)
PASS   DuliFangzhengTest                  shouldWarnOnGansuiBanxiaTangAntagonism 「甘遂半夏汤十八反警告检测」     0.40s  @Order(367)
PASS   DuliFangzhengTest                  t_fangjihuangqitang              「防己黄芪汤证」           0.47s  @Order(404)
PASS   DuliFangzhengTest                  t_gualoumulisan                  「瓜蒌牡蛎散证」           0.39s  @Order(443)
PASS   DuliFangzhengTest                  t_shizaotang                     「十枣汤证」             0.42s  @Order(582)
PASS   DuliFangzhengTest                  t_guadisan                       「瓜蒂散证」             0.43s  @Order(584)
PASS   DuliFangzhengTest                  t_mijiandaofang                  「蜜煎导方证」            0.46s  @Order(589)
PASS   DuliFangzhengTest                  t_zhudanzhifang                  「猪胆汁方证」            0.34s  @Order(590)
PASS   DuliFangzhengTest                  t_yiwuguaditang                  「一物瓜蒂汤证」           0.42s  @Order(593)
PASS   DuliFangzhengTest                  t_zhugaofajian                   「猪膏发煎证」            0.34s  @Order(594)
PASS   DuliFangzhengTest                  t_xiaoshifanshisan               「硝石矾石散证」           0.38s  @Order(595)
PASS   DuliFangzhengTest                  t_jupizhurutang                  「橘皮竹茹汤证」           0.35s  @Order(599)
PASS   DuliFangzhengTest                  t_jupitang                       「橘皮汤证」             0.36s  @Order(600)
PASS   DuliFangzhengTest                  t_juzhijiangtang                 「橘枳姜汤证」            0.31s  @Order(601)
PASS   DuliFangzhengTest                  t_wengetang                      「文蛤汤证」             0.36s  @Order(602)
PASS   DuliFangzhengTest                  t_zishentang                     「紫参汤证」             0.41s  @Order(603)
PASS   DuliFangzhengTest                  t_helilesan                      「诃梨勒散证」            0.37s  @Order(604)
PASS   DuliFangzhengTest                  t_shengmabiejiatang              「升麻鳖甲汤证」           0.45s  @Order(607)
PASS   DuliFangzhengTest                  t_shengmabiejiaquxionghuangshujiaotang 「升麻鳖甲去雄黄蜀椒汤证」      0.40s  @Order(608)
PASS   DuliFangzhengTest                  t_kushentang                     「苦参汤证（狐惑）」         0.28s  @Order(609)
PASS   DuliFangzhengTest                  t_xionghuangxunfang              「雄黄熏方证」            0.34s  @Order(610)
PASS   DuliFangzhengTest                  t_biejiajianwan                  「鳖甲煎丸证」            0.35s  @Order(611)
PASS   DuliFangzhengTest                  t_shuqisan                       「蜀漆散证」             0.41s  @Order(612)
PASS   DuliFangzhengTest                  t_mulitang                       「牡蛎汤证」             0.33s  @Order(613)
PASS   DuliFangzhengTest                  t_mulizexiesan                   「牡蛎泽泻散证」           0.38s  @Order(614)
PASS   DuliFangzhengTest                  t_dahuanggansuitang              「大黄甘遂汤证」           0.35s  @Order(615)
PASS   DuliFangzhengTest                  t_shuyuwan                       「薯蓣丸证」             0.45s  @Order(702)
PASS   DuliFangzhengTest                  t_tianxiongsan                   「天雄散证」             0.36s  @Order(704)
PASS   DuliFangzhengTest                  t_shechuangzisan                 「蛇床子散证」            0.30s  @Order(713)
PASS   DuliFangzhengTest                  t_langyatantang                  「狼牙汤证」             0.38s  @Order(714)
PASS   DuliFangzhengTest                  t_zhizhusan                      「蜘蛛散证」             0.28s  @Order(728)
PASS   DuliFangzhengTest                  t_bentuntang                     「奔豚汤证」             0.43s  @Order(730)
PASS   DuliFangzhengTest                  t_xuanfuhuatang                  「旋覆花汤证」            0.37s  @Order(731)
PASS   DuliFangzhengTest                  t_zaojiawan                      「皂荚丸证」             0.39s  @Order(732)
PASS   DuliFangzhengTest                  t_qianjinweijingtang             「千金苇茎汤证」           0.41s  @Order(733)
PASS   DuliFangzhengTest                  t_tinglidazaoxiefeitang          「葶苈大枣泻肺汤证」         0.34s  @Order(734)
PASS   DuliFangzhengTest                  t_maimendongtang                 「麦门冬汤证」            0.34s  @Order(735)
PASS   DuliFangzhengTest                  t_zeqitang                       「泽漆汤证」             0.33s  @Order(736)
PASS   DuliFangzhengTest                  t_xumingtang                     「续命汤证」             0.32s  @Order(744)
PASS   HebingFangzhengTest                t_chaihuguizhitang               「柴胡桂枝汤证」           0.39s  @Order(75)
FAIL   HebingFangzhengTest                t_wutouguizhitang                「乌头桂枝汤证」           0.34s  @Order(220)
       └─ Expecting ArrayList: ["Taiyinbing", "Yangmingbing"] to contain: ["Taiyangbing"] but could not find the following element(s): ["Taiyangbing"]
PASS   HebingFangzhengTest                shouldDetectTaiyangShaoyangHebing 「太阳少阳合病检测」         0.36s  @Order(901)
PASS   HebingFangzhengTest                t_guizhiermahuangyitang_hebing   「桂枝二麻黄一汤证（合方）」     0.32s  @Order(904)
PASS   HebingFangzhengTest                t_guizhimahuanggebantang_hebing  「桂枝麻黄各半汤证（合方）」     0.38s  @Order(905)
PASS   HebingFangzhengTest                t_guizhieryuebiyitang_hebing     「桂枝二越婢一汤证（合方）」     0.47s  @Order(906)
PASS   HebingFangzhengTest                t_houpoqiwutang                  「厚朴七物汤证（合方）」       0.46s  @Order(907)
PASS   HerbRuleEngineTest                 chaihuLongguMuli                 「多药加味 + 去药：柴胡加龙骨牡蛎汤证」     0.00s  
PASS   HerbRuleEngineTest                 derivationReport                 「生成加减药派生报告：症状 → 命中规则 → 加/去药 → 依据（落盘 target/herb-rule-report.txt）」     0.01s  
PASS   HerbRuleEngineTest                 loadsAllRules                    「rules.owl 全部规则可加载且无解析失败」     0.01s  
PASS   HerbRuleEngineTest                 noDerivation                     「条件不满足 / 母方证无规则 → 不派生，组成保持原样」     0.00s  
PASS   HerbRuleEngineTest                 orGroupCondition                 「OR 组条件：(Dabianying OR Xiali) 命中任一即成立」     0.00s  
PASS   HerbRuleEngineTest                 retainSemantics                  「retain 语义：真武汤证 + 小便不利 → 保留茯苓（不新增）」     0.00s  
PASS   HerbRuleEngineTest                 xiaochaihuWithCough              「小柴胡汤证 + 咳 → 去人参大枣生姜，加五味子干姜」     0.00s  
PASS   HerbRuleEngineTest                 xiaochaihuWithThirst             「小柴胡汤证 + 渴 → 去半夏，人参加量，加栝蒌根（剂量调整不重复入药）」     0.34s  
PASS   JueyinFangzhengTest                t_mahuangshengmatang             「麻黄升麻汤证」           0.41s  @Order(36)
PASS   JueyinFangzhengTest                t_wuzhuyutang                    「吴茱萸汤证」            0.41s  @Order(207)
PASS   JueyinFangzhengTest                shouldDiagnoseWumeiWanPattern    「乌梅丸证诊断」           0.32s  @Order(208)
PASS   JueyinFangzhengTest                t_wutoutang                      「乌头汤证」             0.36s  @Order(218)
PASS   JueyinFangzhengTest                t_dawutoujian                    「大乌头煎证」            0.43s  @Order(219)
PASS   JueyinFangzhengTest                t_chiwan                         「赤丸证」              0.33s  @Order(222)
PASS   JueyinFangzhengTest                t_dangguisinitang                「当归四逆汤证」           0.36s  @Order(223)
PASS   JueyinFangzhengTest                t_dangguisnijiawuzhuyushengjiangtang 「当归四逆加吴茱萸生姜汤证」     0.30s  @Order(224)
PASS   JueyinFangzhengTest                t_dangguishengjiangyangroutang   「当归生姜羊肉汤证」         0.36s  @Order(544)
PASS   JueyinFangzhengTest                t_baitouwengtang                 「白头翁汤证」            0.33s  @Order(605)
PASS   JueyinFangzhengTest                t_baitouwengjiagancaojiaotang    「白头翁加甘草阿胶汤证」       0.27s  @Order(606)
PASS   JueyinFangzhengTest                t_wumeiwan_retest                「乌梅丸证（复测）」         0.30s  @Order(615)
PASS   JueyinFangzhengTest                t_guizhishaoyaozhimutang_jueyin  「桂枝芍药知母汤证（厥阴）」     0.32s  @Order(616)
PASS   ShaoyangYangmingFangzhengTest      shouldDiagnoseXiaoChaihuTangPattern 「小柴胡汤证诊断」          0.28s  @Order(71)
PASS   ShaoyangYangmingFangzhengTest      shouldDiagnoseDaChaihuTangPattern 「大柴胡汤证诊断（少阳阳明合病）」     0.26s  @Order(72)
PASS   ShaoyangYangmingFangzhengTest      t_chaihujiamangxiaotang          「柴胡加芒硝汤证」          0.37s  @Order(73)
PASS   ShaoyangYangmingFangzhengTest      t_chaihujialonggumulitang        「柴胡加龙骨牡蛎汤证」        0.37s  @Order(74)
FAIL   ShaoyangYangmingFangzhengTest      shouldDiagnoseChaihuGuizhiGanjiangTangPattern_Taiyin 「柴胡桂枝干姜汤证诊断（少阳太阴合病）」     0.14s  @Order(76)
       └─ Expecting actual not to be null
