总实例: 654

===== 含「痛」的实例 (45) =====
  Chanhoufutong                              产后腹痛   [Chanhoufutong]
  Guanjietengtong                            关节疼痛   [Guanjietengtong]
  Citong                                     刺痛   [Citong]
  Yantong                                    咽痛   [Yantong]
  Sizhilijietong                             四肢历节痛   [Sizhilijietong]
  Sizhichenzhongtengtong                     四肢沉重疼痛   [Sizhichenzhongtengtong]
  Toutong                                    头痛   [Toutong]
  Touxiangqiangtong                          头项强痛   [Touxiangqiangtong]
  Hanshanraogitong                           寒疝绕脐痛   [Hanshanraoqitong]
  Hanshanfutong                              寒疝腹痛   [Hanshanfutong]
  Shaofujiantong                             少腹坚痛   [Shaofujiantong]
  Shaofutong                                 少腹痛   [Shaofutong]
  Xinxiaanzhimantong                         心下按之满痛   [Xinxiaanzhimantong]
  Xinxiatong                                 心下痛   [Xinxiatong]
  Xinxuantong                                心悬痛   [Xinxuantong]
  Xintong                                    心痛   [Xintong]
  Xintongchebei                              心痛彻背   [Xintongchebei]
  Xinxiongdahantong                          心胸大寒痛   [Xinxiongdahantong]
  Anzhibutong                                按之不痛   [Anzhibutong]
  Anzhijitongrulin                           按之即痛如淋   [Anzhijitongrulin]
  Antong                                     按痛   [Antong]
  Chetongbudequshen                          掣痛不得屈伸   [Chetongbudequshen]
  Shifuzitong                                时腹自痛   [Shifuzitong]
  Qichongjitong                              气冲急痛   [Qichongjitong]
  Nishitoutong                               溺时头痛   [Nishitoutong]
  Raoqitong                                  绕脐痛   [Raoqitong]
  Zhijietong                                 肢节痛   [Zhijietong]
  Xiexiapiantong                             胁下偏痛   [Xiexiapiantong]
  Xiexiatongyinquepen                        胁下痛引缺盆   [Xiexiatongyinquepen]
  Xietong                                    胁痛   [Xietong]
  Beitongchexin                              背痛彻心   [Beitongchexin]
  Xiongzhongtong                             胸中痛   [Xiongzhongtong]
  Xiongtong                                  胸痛   [Xiongtong]
  Xiongxiekutong                             胸胁苦痛   [Xiongxiekutong]
  Yaotong                                    腰痛   [Yaotong]
  Fuzhongjiaotong                            腹中㽲痛   [Fuzhongjiaotong]
  Fuzhongjitong                              腹中急痛   [Fuzhongjitong]
  Futong                                     腹痛   [Futong]
  Xulaoyaotong                               虚劳腰痛   [Xulaoyaotong]
  Zhuzhijietengtong                          诸肢节疼痛   [Zhuzhijietengtong]
  Shentong                                   身痛   [Shentong]
  Jinzhizetongju                             近之则痛剧   [Jinzhizetongju]
  Yinzhongtong                               阴中痛   [Yinzhongtong]
  Yinchetong                                 阴掣痛   [Yinchetong]
  Gujietong                                  骨节痛   [Gujietong]

===== 含「寒」的实例 (33) =====
  Buehan                                     不恶寒   [Buehan]
  Shanghanmaifu                              伤寒脉浮   [Shanghanmaifu]
  Danrebuhan                                 但热不寒   [Danrebuhan]
  Neiyoujiuhan                               内有久寒   [Neiyoujiuhan]
  Fazehanre                                  发则寒热   [Fazehanre]
