共 553 个症状实例

Fare	发热
Ere	恶热
Ehan	恶寒
Efeng	恶风
Weihan	微恶寒
Beiehan	背恶寒
Beihanleng	背寒冷
Shenhan	身寒
Mujifare	暮即发热
Danrebuhan	但热不寒
Chaore	潮热
Wanglaihanre	往来寒热
Shenre	身热
Shenrebuqu	身热不去
Dare	大热
Sasaehan	洒洒恶寒
Shishifare	时时发热
Wuhanre	无寒热
Shenwure	身无热
Mianyourese	面有热色
Reduohanshao	热多寒少
Handuoreshao	寒多热少
Runvezhuang	如疟状
Yirizaifa	一日再发
Shendahan	身大寒
Wureehan	无热恶寒
Xixifare	翕翕发热
Zhengzhengfare	蒸蒸发热
Ribusuofare	日晡所发热
Buehan	不恶寒
Shouzuwen	手足温
Fanre	烦热
Touxiangqiangtong	头项强痛
Wudare	无大热
Weire	微热
Shenzhuore	身灼热
Yudebeifuxianghuo	欲得被覆向火
Xiaoyoulaoshenjire	小有劳身即热
Zhenhan	振寒
Hanchu	汗出
Wuhan	无汗
Zihan	自汗
Daohan	盗汗
Dantouhanchu	但头汗出
Huanghan	黄汗
Dahan	大汗
Duohanchu	多汗出
Muhezehan	目合则汗
Shouzujiranhanchu	手足濈然汗出
Shiyihanchu	食已汗出
Ruofazebaihanchu	若发则白汗出
Muchangdaohanchu	暮常盗汗出
Hanloubuzhi	汗漏不止
Toutong	头痛
Touxuan	头眩
Qizetouxuan	起则头眩
Muxuan	目眩
Muchi	目赤
Muming	目瞑
Muhuang	目黄
Mianchi	面赤
Mianre	面热
Miangou	面垢
Mianseweihuang	面色萎黄
Mianfu	面浮
Mianseqing	面色青
Miansebai	面色白
Eshanghei	额上黑
Mianchibanbanrujinwen	面赤斑斑如锦纹
Xiangqiang	项强
Beiqiang	背强
Xiangbeiqiangjiji	项背强几几
Shentiqiangjiji	身体强几几
Erlong	耳聋
Erqianhouzhong	耳前后肿
Biming	鼻鸣
Binv	鼻衄
Muzhongbulele	目中不了了
Jingbuhe	睛不和
Murutuozhuang	目如脱状
Mianselihei	面色黧黑
Muchirujiuyan	目赤如鸠眼
Touzhong	头重
Muqizichu	目泣自出
Bigan	鼻干
Muteng	目疼
Murundong	目瞤动
Mukeshangweiyong	目窠上微拥
Muxiayouwocan	目下有卧蚕
Kouke	口渴
Dake	大渴
Buke	不渴
Fanbuke	反不渴
Yuyin	欲饮
Buyuyin	不欲饮
Kouku	口苦
Kouburen	口不仁
Kousheburen	口舌不仁
Koujin	口噤
Kousheganzao	口舌干燥
Chunkouganzao	唇口干燥
Chunan	唇暗
Chunwei	唇痿
Yangan	咽干
Yantong	咽痛
Yanzhongtong	咽中痛
Yanhoubuli	咽喉不利
Yanzhongruyouzhiluan	咽中如有炙脔
Danyushushuibuyuyan	但欲漱水不欲咽
Danyuyinre	但欲饮热
Tunong	吐脓
Tunongxue	吐脓血
Tuxian	吐涎
Tuxianmo	吐涎沫
Tuzhuo	吐浊
Tuxue	吐血
Tuxuebuzhi	吐血不止
Xiaoke	消渴
Shuiruzetu	水入则吐
Tuhui	吐蛔
Kouzhonghe	口中和
Kouzao	口燥
Butu	不吐
Outubuzhi	呕吐不止
Koushanglanchi	口伤烂赤
Aigan	嗌干
Kouzhongpipizao	口中辟辟燥
Koukai	口开
Qianbanchizao	前板齿燥
Yanzhongshangshengchuang	咽中伤生疮
Shengbuchu	声不出
Shenghe	声喝
Koutuxian	口吐涎
Shejinanyan	舌即难言
Tunongrumizhou	吐脓如米粥
Yuyannanchu	语言难出
Xiaogushanji	消谷善饥
Huonishangqi	火逆上气
Kesou	咳嗽
Ketuo	咳唾
Keershangqi	咳而上气
Keni	咳逆
Chuan	喘
Duanqi	短气
Shaoqi	少气
Shangqi	上气
Budexi	不得息
Shishituzhuo	时时吐浊
Houzhongshuijisheng	喉中水鸡声
Xinji	心悸
Xinxiajidong	心下悸动
Qixiaji	脐下悸
Xinxiaji	心下急
Xinxiapi	心下痞
Xinxiapiying	心下痞硬
Xinxiajian	心下坚
Xinxiapijian	心下痞坚
Xinxiakuan	心下宽
Xinxianiman	心下逆满
Xinxiaman	心下满
Xinxiatong	心下痛
Xinxiazhijie	心下支结
Xinzhongpi	心中痞
Xinzhongtengre	心中疼热
Xinzhongaonao	心中懊憹
Xinzhongehanbuzu	心中恶寒不足
Xiongzhongzhi	胸中窒
Xinzhongji	心中饥
Xinfan	心烦
Weifan	微烦
Yuyuweifan	郁郁微烦
Fanzao	烦躁
Fanzaoyusi	烦躁欲死
Xiongman	胸满
Xiongzhongqisai	胸中气塞
Xiongzhongpiying	胸中痞硬
Xiongzhongyoure	胸中有热
Xiongzhongfan	胸中烦
Xiongzhongjiacuo	胸中甲错
Xiongtong	胸痛
Xiongbi	胸痹
Xiongbihuanji	胸痹缓急
Xintong	心痛
Xintongchebei	心痛彻背
Beitongchexin	背痛彻心
Xinxuantong	心悬痛
Xiongxiekuman	胸胁苦满
Xiongxiezhiman	胸胁支满
Xietong	胁痛
Xiexiapiying	胁下痞硬
Xiexiapiantong	胁下偏痛
Xiexiazhengjia	胁下癥瘕
Xinxiongdahantong	心胸大寒痛
Xiongzhongtong	胸中痛
Beihanlengruzhangda	背寒冷如掌大
Xiexiatongyinquepen	胁下痛引缺盆
Xiongxiekutong	胸胁苦痛
Xiexianiqiangxin	胁下逆抢心
Xiexiaman	胁下满
Fuman	腹满
Futong	腹痛
Fuzhonghan	腹中寒
Fuzhongjiaotong	腹中㽲痛
Fuzhongleiming	腹中雷鸣
Changming	肠鸣
Changmingruzoushui	肠鸣如走水
Fupiji	腹皮急
Shaofutong	少腹痛
Shaofuxianji	少腹弦急
Shaofuman	少腹满
Shaofujuji	少腹拘急
Shaofuliji	少腹里急
Liji	里急
Shifuzitong	时腹自痛
Zhengkuai	癥块
Wujiju	无积聚
Xinxiaanzhimantong	心下按之满痛
Anzhiru	按之濡
Antong	按痛
Juan	拒按
Anzhijitongrulin	按之即痛如淋
Anzhiruruzhongzhuang	按之濡如肿状
Fuzhongrudaiwuqianqian	腹重如带五千钱
Shaofuzhengkuai	少腹癥块
Shaofuzhongpi	少腹肿痞
Shaofujijie	少腹急结
Raoqitong	绕脐痛
Fuzhongjitong	腹中急痛
Shaofujiantong	少腹坚痛
Elubujin	恶露不尽
Shaofuyingman	少腹硬满
Shaofuehan	少腹恶寒
Qichongjitong	气冲急痛
Raoqihanshan	绕脐寒疝
Furugu	腹如鼓
Bangguangji	膀胱急
Dabiannan	大便难
Dabianying	大便硬
Dabiantang	大便溏
Dabianchuyinghoutang	大便初硬后溏
Bianxue	便血
Nongxue	脓血
Xiaobianbuli	小便不利
Xiaobianshu	小便数
