名称                          TBox类   ABox症状    ABox脉象    
Zhuhuang                    无       无         无         
Shenjinhuang                无       无         无         
Yinshui                     无       无         无         
Feitong                     有       无         无         
Mianmuqing                  无       无         无         
Shentongrupiang             无       无         无         
Yinzhongshichuang           无       无         无         
Housishui                   有       无         无         
Yinhushan                   有       无         无         
Pianyouxiaoda               有       无         无         
Shishishangxia              有       无         无         
Gejianzhiyin                有       无         无         
Gexianzhiyin                无       有         无         
FengqiBaiji                 无       无         无         
Fengqibaiji                 有       有         无         
NueMu                       无       无         无         
Nuemu                       无       有         无         
Nue                         无       无         无         
Duohan                      无       无         无         
Xialiqi                     有       无         无         
ChangyuDaQiXiongShang       无       无         无         
Changyudaqixiongshang       无       有         无         
Xieli                       无       无         无         
Changjianyoushuiqi          无       无         无         
Outuerbingzaigeshang        无       无         无         
Shenghouzhe                 无       无         无         
Xuruomai                    无       无         无         
Shenretengzhong             无       无         无         
Chuanman                    无       无         无         
Chuanbudewo                 无       无         无         
Xiongmanzhang               无       无         无         
Keyouweire                  无       无         无         
Kenishangqi                 无       无         无         
Koujinbunengyan             无       无         无         
Bentunqishangchongxiong     无       无         无         
Yueni                       无       无         无         
Qili                        无       无         无         
Yanhoutong                  无       无         无         
Shijing                     无       无         无         
Yaoxilengtong               无       无         无         
Hui                         有       有         无         
Yantong                     有       有         无         
Duohanchu                   有       有         无         
Yijing                      有       有         无         
Yaozhongleng                有       有         无         
Keni                        有       有         无         
Koujin                      有       有         无         
Budeyu                      有       有         无         
Weire                       有       有         无         
Chuan                       有       有         无         
Xiongman                    有       有         无         
Budewo                      有       有         无         
Qishangchongxiong           有       有         无         
Xiali                       有       有         无         
Xiaobianchi                 有       有         无         
Kouku                       有       有         无         
Xinxiapiying                有       有         无         
Xinxiapiyingman             无       无         无         
Xinxiapijian                有       有         无         
Mianselihei                 有       有         无         
ShaoyinMaiHuashu            无       无         有         
Fuzhongleiming              有       有         无         

TBox 类总数: 559
