pattern_id,pattern_name,feature,weight,abs_weight
fj:BaiHeDiHuangTang,百合地黄汤证,zz:XiaoBianChi,4.3298,4.3298
fj:BaiHeDiHuangTang,百合地黄汤证,mx:Pulse_WeiShu,2.3935,2.3935
fj:BaiHeDiHuangTang,百合地黄汤证,zz:KouKu,1.1713,1.1713
fj:BaiHeHuaShiDaiZheTang,百合滑石代赭汤证,【金匮3-2】,7.8945,7.8945
fj:BaiHeHuaShiSan,百合滑石散证,【金匮3-7】,4.0061,4.0061
fj:BaiHeHuaShiSan,百合滑石散证,BianFaRe,3.8884,3.8884
fj:BaiHeJiZiHuangTang,百合鸡子黄汤证,【金匮3-3】,7.8945,7.8945
fj:BaiHeXiFang,百合洗方证,BianChengKe,6.1989,6.1989
fj:BaiHeXiFang,百合洗方证,【金匮3-6】,1.4684,1.4684
fj:BaiHeZhiMuTang,百合知母汤证,【金匮3-1】,7.8946,7.8946
fj:BaiHuJiaGuiZhiRenShenTang,白虎加桂枝人参汤证,【金匮4-4】,2.454,2.454
fj:BaiHuJiaGuiZhiRenShenTang,白虎加桂枝人参汤证,zz:ShaoQi,1.9073,1.9073
fj:BaiHuJiaGuiZhiRenShenTang,白虎加桂枝人参汤证,zz:DanRe,1.8744,1.8744
fj:BaiHuJiaGuiZhiRenShenTang,白虎加桂枝人参汤证,Fan,1.5286,1.5286
fj:BaiHuJiaGuiZhiRenShenTang,白虎加桂枝人参汤证,zz:ShouZuRe,0.1303,0.1303
fj:BaiHuJiaGuiZhiTang,白虎加桂枝汤证,zz:ShiZuoOu,3.8524,3.8524
fj:BaiHuJiaGuiZhiTang,白虎加桂枝汤证,【金匮4-5】,2.7982,2.7982
fj:BaiHuJiaGuiZhiTang,白虎加桂枝汤证,zz:ShenWuHanDanRe,1.2441,1.2441
fj:BaiHuJiaRenShenTang,白虎加人参汤证,sx:SheJiang,7.6673,7.6673
fj:BaiHuJiaRenShenTang_JinKui,白虎加人参汤证（金匮）,mx:Pulse_Hong,3.8041,3.8041
fj:BaiHuJiaRenShenTang_JinKui,白虎加人参汤证（金匮）,zz:EFeng__AND__zz:Ke,3.1526,3.1526
fj:BaiHuJiaRenShenTang_JinKui,白虎加人参汤证（金匮）,zz:HanChu__AND__zz:Ke,0.9378,0.9378
fj:BaiTouWengJiaGanCaoEJiaoTang,白头翁加甘草阿胶汤证（产后下利）,mx:Pulse_XuJi,7.8945,7.8945
fj:BaiYeTang,柏叶汤证,zz:TuXueBuZhi,4.8258,4.8258
fj:BaiYeTang,柏叶汤证,【金匮16-18】,3.0687,3.0687
