symptomIris,pulseIris,tongueIris,fuzhengIris,病证,兼夹证,方剂,组成的药方,加减药物
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Efeng_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Huanmai_instance,,,太阳病,,桂枝汤,桂枝;芍药;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Jinmai_instance,,,太阳病,,麻黄汤,麻黄;桂枝;杏仁;甘草,
http://www.tcm-classics.org/jingfang#DanreBuhan_instance;http://www.tcm-classics.org/jingfang#Kouke_instance;http://www.tcm-classics.org/jingfang#DaRe_instance;http://www.tcm-classics.org/jingfang#DaKe_instance;http://www.tcm-classics.org/jingfang#DaHan_instance,http://www.tcm-classics.org/jingfang#Hongdamai_instance,,,阳明病,,白虎汤,石膏;知母;甘草;粳米,
http://www.tcm-classics.org/jingfang#DanreBuhan_instance;http://www.tcm-classics.org/jingfang#Kouke_instance;http://www.tcm-classics.org/jingfang#Chaore_instance;http://www.tcm-classics.org/jingfang#Bianmi_instance;http://www.tcm-classics.org/jingfang#Zhanwang_instance,http://www.tcm-classics.org/jingfang#Chenshimai_instance,http://www.tcm-classics.org/jingfang#HuangzaoQiciTai_instance,http://www.tcm-classics.org/jingfang#FumanYingtong_instance,阳明病,,大承气汤,大黄;芒硝;厚朴;枳实,
http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#HeiheiBuyuYinshi_instance;http://www.tcm-classics.org/jingfang#XinfanXiou_instance;http://www.tcm-classics.org/jingfang#Kouku_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,少阳病,,小柴胡汤,柴胡;黄芩;人参;半夏;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#WanglaiHanre_instance;http://www.tcm-classics.org/jingfang#XiongxieKuman_instance;http://www.tcm-classics.org/jingfang#XinxiaJi_instance;http://www.tcm-classics.org/jingfang#OuBuzhi_instance;http://www.tcm-classics.org/jingfang#YuyuWeifan_instance;http://www.tcm-classics.org/jingfang#Bianmi_instance;http://www.tcm-classics.org/jingfang#Kouku_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,http://www.tcm-classics.org/jingfang#XinxiaAnzhiMantong_instance,少阳阳明合病,,大柴胡汤,柴胡;黄芩;芍药;半夏;生姜;枳实;大枣;大黄,
http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Outu_instance;http://www.tcm-classics.org/jingfang#ShiBuXia_instance;http://www.tcm-classics.org/jingfang#Xiali_instance;http://www.tcm-classics.org/jingfang#ShiFuZiTong_instance;http://www.tcm-classics.org/jingfang#BuKe_instance,http://www.tcm-classics.org/jingfang#Chenruomai_instance,,,太阴病,,理中汤,人参;干姜;甘草;白术,
http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Outu_instance;http://www.tcm-classics.org/jingfang#Xiali_instance;http://www.tcm-classics.org/jingfang#XialiQinggu_instance;http://www.tcm-classics.org/jingfang#ShouzuJueleng_instance;http://www.tcm-classics.org/jingfang#DanYuMei_instance,http://www.tcm-classics.org/jingfang#Chenweimai_instance,,,少阴病,,四逆汤,附子;干姜;甘草,
http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance;http://www.tcm-classics.org/jingfang#DanYuMei_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance;http://www.tcm-classics.org/jingfang#Weiximai_instance,,,少阴病,,麻黄附子细辛汤,麻黄;附子;细辛,
http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#DanYuMei_instance;http://www.tcm-classics.org/jingfang#Xinxiajidong_instance;http://www.tcm-classics.org/jingfang#Touxuan_instance;http://www.tcm-classics.org/jingfang#ShenShunDong_instance;http://www.tcm-classics.org/jingfang#Futong_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#SizhiChenzhongTengtong_instance;http://www.tcm-classics.org/jingfang#Xiali_instance;http://www.tcm-classics.org/jingfang#ShouzuJueleng_instance,http://www.tcm-classics.org/jingfang#Weiximai_instance,,,少阴病,,真武汤,附子;白术;茯苓;生姜;芍药,
http://www.tcm-classics.org/jingfang#Xiaoke_instance;http://www.tcm-classics.org/jingfang#QiShangZhuangXin_instance;http://www.tcm-classics.org/jingfang#XinzhongTengre_instance;http://www.tcm-classics.org/jingfang#JiErBuyuShi_instance;http://www.tcm-classics.org/jingfang#ShiZeTuHui_instance;http://www.tcm-classics.org/jingfang#ShouzuJueleng_instance;http://www.tcm-classics.org/jingfang#Kouku_instance,http://www.tcm-classics.org/jingfang#Weiximai_instance,,,厥阴病,,乌梅丸,乌梅;细辛;干姜;黄连;当归;附子;蜀椒;桂枝;人参;黄柏,
