pattern_id,pattern_name,liujing,symptom_list,pulse_list,tongue_list,jianjia_list,clause,
fj:GuiZhiTang,桂枝汤证,lj:Taiyang_Instance,"zz:EHan,zz:FaRe,zz:HanChu,zz:EFeng,zz:TouXiangQiangTong,zz:BiMing,zz:GanOu",mx:Pulse_Huan,,,【6.13】,
fj:GuiZhiJiaGeGenTang,桂枝加葛根汤证,lj:Taiyang_Instance,"zz:TouXiangQiangTong,zz:EFeng,zz:HanChu",,,,【6.15】,
fj:GuiZhiJiaFuZiTang,桂枝加附子汤证,lj:Taiyang_Instance,"zz:HanChu,zz:EFeng,zz:XiaoBianBuLi,zz:SiZhiJueNi",,,jj:WaterRetention,【6.21】,
fj:GuiZhiQuShaoYaoTang,桂枝去芍药汤证,lj:Taiyang_Instance,"zz:XiongMan,zz:EHan",mx:Pulse_Cu,,,【6.22】,
fj:GuiZhiMaHuangGeBanTang,桂枝麻黄各半汤证,lj:Taiyang_Instance,"zz:FaRe,zz:EHan,zz:ShenTiTengTong",mx:Pulse_Huan,,,【6.24】,
fj:GuiZhiErMaHuangYiTang,桂枝二麻黄一汤证,lj:Taiyang_Instance,"zz:FaRe,zz:EHan,zz:HanChu",mx:Pulse_Hong,,,【6.26】,
fj:GuiZhiQuGuiJiaFuLingBaiZhuTang,桂枝去桂加茯苓白术汤证,lj:Taiyang_Instance,"zz:TouXiangQiangTong,zz:FaRe,zz:WuHan,zz:XinXiaPi,zz:XiaoBianBuLi",,,jj:WaterRetention,【6.29】,
fj:MaHuangTang,麻黄汤证,lj:Taiyang_Instance,"zz:EHan,zz:FaRe,zz:WuHan,zz:ShenTiTengTong,zz:TouXiangQiangTong,zz:KeNi",mx:Pulse_Jin,,,【7.4】,
fj:GeGenTang,葛根汤证,lj:Taiyang_Instance,"zz:EHan,zz:WuHan,zz:TouXiangQiangTong",,,,【7.1】,
fj:GeGenJiaBanXiaTang,葛根加半夏汤证,lj:Taiyang_Instance,"zz:EHan,zz:WuHan,zz:TouXiangQiangTong,zz:GanOu",,,,【7.2】,
fj:GeGenHuangQinHuangLianTang,葛根芩连汤证,lj:Taiyang_Instance,"zz:ZiLi,zz:HanChu,zz:ShenRe",mx:Pulse_Shu,"sx:SheJiang,sx:TaiBaiFu",jj:Re,【7.3】,
fj:DaQingLongTang,大青龙汤证,lj:Taiyang_Instance,"zz:FaRe,zz:EHan,zz:WuHan,zz:ShenTiTengTong,zz:FanZao",mx:Pulse_Fu_Jin,,,【7.7】,
fj:XiaoQingLongTang,小青龙汤证,lj:Taiyang_Instance,"zz:GanOu,zz:FaRe,zz:KeNi,zz:XiaoBianBuLi,zz:KeNi",,,jj:WaterRetention,【7.9】,
